"","ZEB","miR200","NRF2","miR34","miR145","Ecad","GRHL2","OCT4","OVOL2","SNAIL","KEAP1"
"ZEB",-0.100372427230722,-0.100291574664509,-0.0999069320660747,-0.00998421203338643,-0.00838704495862156,-0.000402681185982095,0.000402681185982095,0.00845993884594844,0.0176538493458305,0.0778276627532626,0.100387458070288
"SNAIL",-0.0718598043409651,-0.0198643040980592,0.0169219925560135,-0.03888802128169,0.0783831016500621,-0.072069330097302,0.072069330097302,-0.0779010845940739,-0.0634489794439083,-0.0617516081556565,0.0205348327665809
"KEAP1",-0.0716999022999126,-0.0193434810972177,-0.082817226463541,-0.0379461917392952,0.0787639800878419,-0.0723625050033316,0.0723625050033316,-0.0772302377565535,-0.0638996126093824,0.0402736091423674,0.0214651218327198
"OVOL2",-0.0670209769083713,-0.0159676499659335,0.0151001158116298,0.072828276733724,0.0738587052627555,-0.0670982199267908,0.0670982199267908,-0.0736777175871543,-0.0852477873437628,-0.0783348281184657,0.0162170000640819
"Ecad",-0.0088801963475098,0.0797772003588368,0.00292027740141466,0.0205611884518292,0.0165197886038783,-0.00904101367794211,0.00904101367794211,-0.0161388362229259,-0.0217252715958885,0.0368567843514788,-0.0792651546944366
"OCT4",-0.00281293675810581,-0.13932086739271,-0.121458955952972,-0.00197530678830805,-0.136973007404662,-0.00290100016375788,0.00290100016375788,0.137187855817171,-0.00148164082161866,0.0260451972863257,0.139612242684086
"GRHL2",0.000402681185982095,0.100387458070288,0.0999542357557625,0.0101603989770066,0.00845993884594844,0.000350864731379066,-0.000350864731379066,-0.00832761995742711,-0.0177409711579641,-0.077444859455265,-0.100224059377477
"miR145",0.000807058842845431,0.109336207789895,0.137032897741579,0.007878350139171,0.0157126922984017,0.0007362005122677,-0.0007362005122677,-0.115537372001706,-0.0135631388570017,-0.0805217127529755,-0.109110926187893
"miR200",0.00494384213042888,-0.097262819837173,-0.000883518321504408,-0.00413752783311499,-0.0142901090093585,0.00491688359265997,-0.00491688359265997,0.0143366567207627,0.0206431358192196,0.00170763034057801,-0.00265103102910438
"NRF2",0.072069330097302,0.0205348327665809,-0.0165826644257115,0.0400965004469809,-0.0779010845940739,0.0716999022999126,-0.0716999022999126,0.0787639800878419,0.0628769683434949,-0.0356145949627591,-0.0193434810972177
"miR34",0.072069330097302,0.0205348327665809,-0.0165826644257115,0.0400965004469809,-0.0779010845940739,0.0716999022999126,-0.0716999022999126,0.0787639800878419,0.0628769683434949,-0.0356145949627591,-0.0193434810972177
