"","KEAP1","miR200","miR145","GRHL2","Ecad","miR34","OVOL2","ZEB","SNAIL","OCT4","NRF2"
"OVOL2",0.132347149985826,0.144427366442933,0.140368100380841,0.133336234192342,0.133336234192342,0.13241369534357,-0.00276127992278897,-0.10189832569561,-0.046583659828074,-0.105489189754279,-0.118676031908765
"miR200",0.220341362073178,0.139361176373934,0.100007714695198,0.098155316804663,0.098155316804663,0.073708384119261,0.0874750768076472,-0.0482874136397306,0.0530807431010117,-0.0448486766812335,-0.265141432187765
"GRHL2",0.125472533777311,0.147653906326331,0.0945043244194923,0.0931077341861407,0.0931077341861407,0.0886743311921384,0.0872143111580448,-0.0347221046162173,-0.0074052658167268,-0.0302635040423834,-0.161925220665679
"Ecad",0.095397952128481,0.118322488349416,0.0934236092884254,0.0920667567209407,0.0920667567209407,0.0883103610516554,0.0875271342672375,-0.0315426814205907,0.0883304542429167,-0.0269202079278812,-0.246323404004691
"SNAIL",-0.0473957814035725,-0.0245385082201578,0.0840706403462995,0.0834071798024835,0.0834071798024835,-0.0145224974845286,0.0836005252694748,-0.0222307693364164,-0.027943157445631,-0.0173075702684352,0.0131932292108737
"KEAP1",-0.0493800430323072,-0.0230245503401808,0.0888320189740919,0.0881077435429706,0.0881077435429706,-0.00991729671532627,0.0885393164950002,-0.0177393364398696,0.0761866502918204,-0.0118381539434171,-0.0837977096358291
"miR145",0.00833586717986011,0.0266838020985084,0.0650156132310478,0.0599380446422019,0.0599380446422019,0.0583451322849396,0.0651150472188799,-0.0115040137479698,-0.00707591166770418,-0.112109342158897,-0.11145883924068
"ZEB",-0.147653906326331,-0.127371369890636,-0.035231180610266,-0.0347221046162173,-0.0347221046162173,-0.0297166160586072,-0.0267517735372623,-0.0104986602749574,0.0643840644032992,0.0945043244194923,0.194470159170882
"OCT4",0.135584089078594,0.136720452714957,-0.135525171350428,0.00429147565194816,0.00429147565194816,-0.000740746085915474,0.00279139602040432,-0.00165757924653626,0.0271429896370969,0.138509177079719,-0.121433955952972
"NRF2",0.0230245503401808,0.0473957814035725,-0.0173075702684352,-0.0177393364398696,-0.0177393364398696,0.0805794214758117,-0.0157124355600112,0.0834071798024835,-0.00852966177055101,0.0888320189740919,0.0223683588447762
"miR34",0.0230245503401808,0.0473957814035725,-0.0173075702684352,-0.0177393364398696,-0.0177393364398696,0.0805794214758117,-0.0157124355600112,0.0834071798024835,-0.00852966177055101,0.0888320189740919,0.0223683588447762
