"","OVOL2","GRHL2","Ecad","ZEB","miR34","OCT4","miR145","miR200","KEAP1","SNAIL","NRF2"
"OVOL2",0.360798737927868,0.206199328588237,0.206199328588237,-0.204939673210934,0.204586035386044,0.179927912941062,0.182504832703192,-0.12723638731577,0.129554812696426,-0.0859218861200416,-0.174268979966456
"SNAIL",0.144773612032934,0.110166529689269,0.110166529689269,-0.10500504154536,-0.0103886733440068,0.0917221611766343,0.0974099624372943,-0.0445579473856271,0.0518881485442276,-0.0509046989442983,-0.0777997467231772
"KEAP1",0.144599366023027,0.111648640460688,0.111648640460688,-0.102769764234873,-0.0078151295885286,0.0883492515071462,0.0986253251267781,-0.0419013857849983,0.0548669680575113,0.0546126947143297,-0.173037416181294
"Ecad",0.178320539758105,0.0639554298744409,0.0639554298744409,-0.0560659208402909,0.0621445611763411,0.0320795650654907,0.0408686807117492,0.0196213223990309,-0.00854938418027822,0.062759213574242,-0.158252427796426
"GRHL2",0.168482088770543,0.0551731979971748,0.0551731979971748,-0.0474986053320818,0.0544625560232919,0.0236847414230004,0.0321531502883659,0.0124340671727102,-0.00177230246682785,-0.0346511567005472,-0.054296339792523
"ZEB",-0.165060577603111,-0.0474986053320818,-0.0474986053320818,-0.0463811974833157,-0.0438171554298201,-0.0321531502883659,-0.0262070917649878,-0.00420727095690862,0.0124340671727102,0.0520392603519018,0.0666189509561938
"miR145",0.15497677162907,0.0370881589417258,0.0370881589417258,-0.0309045886266424,0.0351878920632582,0.0198808163179183,-0.0733086644642799,-0.0887096946575278,0.0972620517705858,-0.0201673001341894,-0.106566260961668
"OCT4",0.00300268946413656,0.00361048375708504,0.00361048375708504,-0.0032342128420262,-0.000426580336591411,-0.0692588304842628,-0.0687575175217419,-0.0717893940780634,0.0724012821899515,0.0210203196049392,-0.0841635345255837
"miR200",-0.174078954275091,-0.0637078161298183,-0.0637078161298183,0.0573725597541242,-0.0453278449733171,-0.0324235041402193,-0.0396383994078687,-0.00614872965397026,-0.102705486867519,-0.0294437033852027,0.163810609298633
"NRF2",-0.140837496044941,-0.102769764234873,-0.102769764234873,0.110166529689269,0.0205253701676216,-0.0986253251267781,-0.0917221611766343,0.0518881485442276,-0.0419013857849983,-0.033208238265984,0.0881492546973882
"miR34",-0.140837496044941,-0.102769764234873,-0.102769764234873,0.110166529689269,0.0205253701676216,-0.0986253251267781,-0.0917221611766343,0.0518881485442276,-0.0419013857849983,-0.033208238265984,0.0881492546973882
