"","SNAIL","ZEB","OVOL2","GRHL2","Ecad","miR34","OCT4","miR145","miR200","KEAP1","NRF2"
"ZEB",-0.0826066266683376,-0.0599108389671999,-0.0389373997552971,-0.0378023179440492,-0.0378023179440492,-0.0222067007215244,-0.0210564401299596,-0.0185051540735189,-0.0119414412968197,0.0150672403252012,0.054519175138709
"miR34",0.030731357805375,-0.0391693823263203,0.0383173079883475,0.0344489160263449,0.0344489160263449,-0.0433168498661513,0.0337732249986044,0.0284999747589112,-0.0470020344241035,0.0405157864464597,-0.0446178050383639
"GRHL2",0.082120760943956,-0.0378023179440492,0.0433410113504182,0.0412279613316939,0.0412279613316939,0.0248309588817618,0.0172853518071015,0.0210564401299596,0.0150672403252012,-0.0104308024167045,-0.0487244731519541
"SNAIL",-0.0699218238212579,-0.0360060544440635,0.0444168719006769,0.0391693823263203,0.0391693823263203,-0.0397178272154216,0.0284999747589112,0.0320075757971018,-0.0426914929836072,0.0470020344241035,-0.0365757283502064
"miR200",0.00989352339123469,-0.0357881825938133,0.0432617069086879,0.0396648203249828,0.0396648203249828,0.026839704288053,0.0150387331877248,0.0193056067331088,0.0181789508143778,-0.112904709405361,0.0539531099276543
"Ecad",0.0992506798929484,-0.0357545627719628,0.0430631797703297,0.0398317550905703,0.0398317550905703,0.0324776696387715,0.0161033339140193,0.0205931298323867,0.0218974572349047,-0.0163488968386989,-0.146655784508677
"KEAP1",0.029718528635895,-0.0344489160263449,0.0474845833718391,0.0415255128988601,0.0415255128988601,-0.0379304330043246,0.0259511391090338,0.0337732249986044,-0.0405157864464597,0.0502753338297695,-0.132561067449711
"miR145",0.0730480118221757,-0.00555610159297009,0.0203995476212751,0.0072708731929512,0.0072708731929512,9.26436134598713e-05,0.00476354424411976,-0.0933618771989011,-0.0904988375746309,0.0927933724098416,-0.0894375240234245
"OCT4",-0.0276437139732659,0.0201334198615482,-0.0248256466421075,-0.0161065204940036,-0.0161065204940036,-0.00879057012691043,-0.0455181277406721,-0.0409585669863154,-0.0424807397955895,0.0481042829191327,-0.0204770756747806
"NRF2",-0.030731357805375,0.0391693823263203,-0.0383173079883475,-0.0344489160263449,-0.0344489160263449,0.0433168498661513,-0.0337732249986044,-0.0284999747589112,0.0470020344241035,-0.0405157864464597,0.0446178050383639
"OVOL2",-0.0817980631262376,0.0948368331676216,-0.100374596679041,-0.0962747416643536,-0.0962747416643536,-0.0879257783168462,-0.083805913692202,-0.0854003289296406,-0.0890072011570982,0.0870177056931479,0.00167510577184919
