"","KEAP1","GRHL2","Ecad","miR145","miR200","OVOL2","ZEB","miR34","SNAIL","OCT4","NRF2"
"miR34",0.00106396027793481,0.00819884158866855,0.00819884158866855,0.00818453973889089,-0.0652251998926785,0.0108030985764188,-0.0759190616034457,-0.0501264744210719,-0.0123348234614434,-0.077791442902841,-0.00947739221141071
"miR200",0.101440737129328,0.101458973678256,0.101458973678256,0.102285645431036,0.0794057031482804,0.0960739667679628,-0.0220876467790274,-0.0780650110017795,0.048056171414318,-0.0203461574558613,-0.248962664081448
"SNAIL",-0.0652251998926785,0.0759190616034457,0.0759190616034457,0.0762379323974004,-0.000366375826629162,0.0792235550526039,-0.00966803952658548,-0.0966099981614139,-0.072111477485885,-0.00818453973889089,0.010475101850347
"KEAP1",-0.0666871005424329,0.0774540761500256,0.0774540761500256,0.077791442902841,0.00106396027793481,0.0807811847707212,-0.00819884158866855,-0.0975822972867308,0.0285159530409199,-0.00662579873106189,-0.0888009055774773
"miR145",0.003373247085306,0.0974541978591869,0.0974541978591869,0.0977296490999714,0.091024477790354,0.0967540365148926,-0.00813963411030882,-0.0797068100612145,0.00323521543046356,-0.105686493334631,-0.205007545891405
"Ecad",0.00977503144369697,0.093533401892906,0.093533401892906,0.0938761207850349,0.0940275287155848,0.0938207716844002,-0.00760018838425028,-0.158231078514527,0.0639075879890794,-0.00544074663537508,-0.236141656563915
"GRHL2",0.00404443957416431,0.0967424706165838,0.0967424706165838,0.0969939785364896,0.0918712369597852,0.0964599237728617,-0.00718636491101636,-0.074813333101305,-0.00528783537489844,-0.00483387268137877,-0.147690490171406
"OVOL2",-0.0925356454710029,0.0941571782846249,0.0941571782846249,0.0943848676032617,-0.0059368869161724,-0.00515901310155908,-0.0057436310475482,-0.0754860689363853,-0.0383618299866292,-0.00360662059817685,0.0112337520015805
"ZEB",-0.0918712369597852,-0.00718636491101636,-0.00718636491101636,-0.00703250816264808,-0.0059788820633393,-0.00597204162491306,-0.00503979230277232,0.0133611817659934,0.0586447258342624,0.0969939785364896,0.174937415431576
"NRF2",-0.00106396027793481,-0.00819884158866855,-0.00819884158866855,-0.00818453973889089,0.0652251998926785,-0.0108030985764188,0.0759190616034457,0.0501264744210719,0.0123348234614434,0.077791442902841,0.00947739221141071
"OCT4",-0.187759367447875,-0.012903097704347,-0.012903097704347,-0.113046718825031,-0.102998295186803,-0.00895550520851569,0.0997896560263389,0.0196579722962042,0.0129851352675799,0.201588136824554,0.305432408511343
