"","ZEB","SNAIL","OVOL2","miR145","miR200","GRHL2","Ecad","miR34","KEAP1","OCT4","NRF2"
"ZEB",-0.0685932243325549,-0.0396324601676226,-0.0320988356779882,-0.0298934022355877,-0.0293478106631181,-0.0258596239883506,-0.0258596239883506,-0.021895590166766,0.0359957267970992,0.0384011602278818,0.0435085329041651
"NRF2",-0.0383891054671504,0.0238869395513295,0.0347262694786186,0.0298281426203988,-0.0425401704578189,0.0298922661271948,0.0298922661271948,-0.0415779671081294,0.0323474950643787,-0.0428674523040038,-0.0432414590305616
"miR34",-0.0383891054671504,0.0238869395513295,0.0347262694786186,0.0298281426203988,-0.0425401704578189,0.0298922661271948,0.0298922661271948,-0.0415779671081294,0.0323474950643787,-0.0428674523040038,-0.0432414590305616
"OVOL2",-0.0363865245772029,0.0390971598699362,-0.0484710935370486,0.0467836872853407,-0.0514940939250573,0.0458814740721523,0.0458814740721523,0.041438589711225,0.0628209547664813,-0.0323132916979926,-0.037356116966067
"miR200",-0.0335754911669225,0.0271594187083762,0.0439836363196205,0.0448908594708144,0.0282356673986417,0.0397489963160033,0.0397489963160033,0.0176300009021448,-0.120893846780282,-0.0355347694785724,0.0590342858118495
"SNAIL",-0.032210650847363,-0.0866903887251138,0.0449941519048518,0.0392385986826903,-0.0351643551040808,0.0383891054671504,0.0383891054671504,-0.0375827217802552,0.0425401704578189,-0.0298281426203988,-0.0306863182093875
"GRHL2",-0.0258596239883506,0.0300623777176815,0.0413575082583779,0.0384011602278818,0.0359957267970992,0.0335457314211332,0.0335457314211332,0.0255027860124633,-0.0268658248363149,-0.0267570980380042,-0.0322266029136258
"Ecad",-0.0225817143849478,-0.0405425482791522,0.034377654579132,0.0328139600519335,0.0876746437225956,0.0268008043480544,0.0268008043480544,0.107644685676584,-0.0826633115644491,-0.0264194022288042,-0.117326988603404
"OCT4",0.00187381776298325,-0.0221661311633935,-0.00159139469937022,-0.142882415309639,-0.136545627540132,-0.00268239994215225,-0.00268239994215225,0.00193291594473026,0.135584089078594,0.141617196880419,-0.120484058618977
"miR145",0.0113160239670879,-0.0166249815099388,-0.0298440718492163,0.0950140809249928,0.0848784462096465,-0.017830266491534,-0.017830266491534,-0.0168190485502723,-0.092563051966843,-0.204791559009956,0.0941707753095338
"KEAP1",0.0298922661271948,-0.00936972145544837,-0.0489337201725558,-0.0428674523040038,0.0323474950643787,-0.04163358603178,-0.04163358603178,0.0361063895054043,-0.0463503239186927,0.0249226670279302,-0.0740525944337046
