"","SNAIL","miR145","GRHL2","Ecad","OVOL2","ZEB","miR200","KEAP1","miR34","OCT4","NRF2"
"GRHL2",0.0983139105575002,0.0871010796602234,0.0853867937364567,0.0853867937364567,0.0811973841259929,-0.0360057124997706,0.0319955371331751,0.00642358051388376,-0.0915804754660052,-0.0310640303714374,-0.0448367726421161
"miR200",0.0139575653088366,0.0866412690682758,0.0850432096328464,0.0850432096328464,0.0816562380510881,-0.0340969649571576,0.0361617509314062,-0.0964087117814109,-0.0712990932292385,-0.0289996864460881,0.0581076626799879
"Ecad",0.135029610611527,0.0870868404811762,0.0854647811244751,0.0854647811244751,0.0823845687969125,-0.0328491345442083,0.0367796244731056,0.00430994154720835,-0.180985346579868,-0.0276038472838973,-0.140371572995577
"OVOL2",0.076825112309226,0.0805818656377312,0.0797964824739434,0.0797964824739434,-0.0198328148716308,-0.0262195365440563,-0.0425568897165604,0.0844848434541592,-0.0826710541868259,-0.0202095481336374,-0.0272227839880142
"SNAIL",-0.033912530600237,0.0817889772317239,0.080986725469068,0.080986725469068,0.0814729913973581,-0.0250484589114229,-0.0405304400733487,0.0844705942493283,-0.137347329081454,-0.0189117061898255,-0.0256290195817132
"KEAP1",0.0648803545842874,0.0877995297756357,0.0869624368615459,0.0869624368615459,0.0876284309428933,-0.0194564734372151,-0.0358310884396504,0.0892492874024038,-0.141987284745905,-0.0123394070762492,-0.119161958568738
"ZEB",-0.119058904668219,-0.0366064425676481,-0.0360057124997706,-0.0360057124997706,-0.0293757462359248,-0.0190280117621218,0.00327037951218417,0.0319955371331751,0.0474966475728301,0.0871010796602234,0.0954280687632136
"miR145",0.0966096364133198,0.0595897750183443,0.054173140383457,0.054173140383457,0.0601656957266301,-0.0141854224940905,-0.0917864525651287,0.122716782143769,-0.0625228029434221,-0.114397597000812,-0.104924884084497
"OCT4",-0.027453813800925,-0.1444607439408,-0.00429147565194816,-0.00429147565194816,-0.00279139602040432,0.00167359077483663,0.139370504384892,-0.141584956599344,0.00834802529630655,0.141476738211509,0.123367860572943
"NRF2",-0.0897284302088654,-0.0189117061898255,-0.0194564734372151,-0.0194564734372151,-0.0171755456251431,0.080986725469068,0.0844705942493283,-0.0358310884396504,0.0829921814885071,0.0877995297756357,0.0880653955572816
"miR34",-0.0897284302088654,-0.0189117061898255,-0.0194564734372151,-0.0194564734372151,-0.0171755456251431,0.080986725469068,0.0844705942493283,-0.0358310884396504,0.0829921814885071,0.0877995297756357,0.0880653955572816
