"","OVOL2","KEAP1","ZEB","miR145","GRHL2","Ecad","miR34","OCT4","SNAIL","miR200","NRF2"
"ZEB",-0.122193859146789,-0.107752554705083,-0.0844680806629259,-0.0189567105237579,-0.0125438963440681,-0.0125438963440681,-0.0114436736002062,0.0234657181255491,0.0278478826975161,0.108155265009353,0.11967784202833
"OVOL2",0.24397722779531,0.235227260306723,-0.0788521665562997,0.0881150655016856,0.0811516317969414,0.0811516317969414,0.0809375076795617,-0.0846590627437781,-0.0427955826201425,-0.234946078281152,-0.139846096598529
"SNAIL",0.0724902051106883,0.103768794663225,-0.0323843149256992,0.0403583395073678,0.0394826387196485,0.0394826387196485,-0.0568792622045965,-0.0297168860405528,-0.0358394093244763,-0.102833703662906,-0.0611332830676259
"KEAP1",0.0741980369205851,0.104139359738559,-0.0298200494412642,0.0442902321575231,0.043045599401508,0.043045599401508,-0.0521561197423266,-0.0245049560839035,0.0710332604499639,-0.102489194722058,-0.157809274315811
"Ecad",0.128781161883153,0.140813525201435,-0.0129232438410108,0.0242175263528518,0.0186464488358078,0.0186464488358078,0.021995281934977,-0.0157005195501307,0.0774775271340074,-0.140083230565324,-0.225140673212342
"GRHL2",0.124165980166906,0.108283600456717,-0.0125438963440681,0.0234657181255491,0.0166373962577073,0.0166373962577073,0.0169147418494644,-0.0173790492535676,-0.0197206742169507,-0.107752554705083,-0.115822591318775
"miR200",0.121370445372621,-0.00151215729119787,-0.00974870186580628,0.021561177071086,0.0147252479379473,0.0147252479379473,0.0217319208671996,-0.0141600909578199,-0.0234216571564456,-0.0978465102688672,-0.0103088286747917
"OCT4",0.00187741455836981,0.142803755751772,-0.00186240322872911,-0.137055755889921,0.00273503152109962,0.00273503152109962,-0.00212622632814727,0.138368718410809,0.0274252517956917,-0.14271634316436,-0.124537978970028
"miR145",-0.11909206791285,-0.11674566077187,0.00593601421972083,0.100555831783224,-0.00907740020866693,-0.00907740020866693,-0.00691649469702719,-0.205208562734,0.00843060709608046,0.116353503909125,0.150039407147077
"NRF2",-0.0678065102587882,-0.102489194722058,0.0394826387196485,-0.0297168860405528,-0.0298200494412642,-0.0298200494412642,0.0697631029230803,0.0442902321575231,-0.0449022678773778,0.103768794663225,0.0701933441466894
"miR34",-0.0678065102587882,-0.102489194722058,0.0394826387196485,-0.0297168860405528,-0.0298200494412642,-0.0298200494412642,0.0697631029230803,0.0442902321575231,-0.0449022678773778,0.103768794663225,0.0701933441466894
