"","NRF2","SNAIL","KEAP1","miR145","GRHL2","Ecad","OVOL2","miR200","ZEB","miR34","OCT4"
"miR200",-0.0499724923280824,0.0283768165387682,0.122373359184249,0.0924135930978857,0.0901768550911336,0.0901768550911336,0.0798594003925219,0.0512141747293813,-0.0570016785127112,-0.0880376579092241,-0.0514981547736033
"miR145",0.0366581209848075,0.0219602146593955,0.0292061389018176,0.0902317393272916,0.08802705605105,0.08802705605105,0.0810538827996675,0.0657267897153345,-0.0462537082311247,-0.0880111176478159,-0.138970781808748
"GRHL2",0.0368099945008342,0.022781886115117,0.0276898188647276,0.0863976497065603,0.0845440594628708,0.0845440594628708,0.078995928686325,0.0624733155967537,-0.0444784252870403,-0.0846473658073737,-0.0376050595643175
"Ecad",0.122200456669531,-0.0664749168214712,0.0904874105392341,0.0674238451947556,0.0633932247370758,0.0633932247370758,0.0607458472319644,0.109752079388391,-0.0411815134514832,-0.0639094312530176,-0.0397503758070005
"OVOL2",0.0263730412480797,0.0195089539298383,-0.0705410916634169,0.0756023914599798,0.0746511306422417,0.0746511306422417,-0.0246520990250772,-0.0337911314533262,-0.0317812554194253,-0.0767342933496833,-0.0244173531078295
"SNAIL",0.0246818303827233,-0.0738104006567418,-0.0718685224053803,0.0771105867232413,0.0761415069107599,0.0761415069107599,0.0769615814237565,-0.0324168050309334,-0.0303473531904001,-0.132780041052765,-0.0227613097488253
"KEAP1",-0.0834854071067965,0.0197802786401991,-0.0788457389428263,0.0845062761917783,0.0834727377429599,0.0834727377429599,0.0846340238295333,-0.0264647865618739,-0.0234939410294693,-0.139553221819232,-0.0142608774187722
"ZEB",-0.0811808554279865,-0.0773608024873196,-0.0624733155967537,-0.0449730948799436,-0.0444784252870403,-0.0444784252870403,-0.0358072703622318,-0.0327430675783441,-0.0203006318573423,0.0403224399913499,0.0863976497065603
"NRF2",-0.0819264859646711,-0.093109110510557,0.0264647865618739,-0.0227613097488253,-0.0234939410294693,-0.0234939410294693,-0.0208648492495479,0.0718685224053803,0.0761415069107599,0.0760871796646649,0.0845062761917783
"miR34",-0.0819264859646711,-0.093109110510557,0.0264647865618739,-0.0227613097488253,-0.0234939410294693,-0.0234939410294693,-0.0208648492495479,0.0718685224053803,0.0761415069107599,0.0760871796646649,0.0845062761917783
"OCT4",0.00931120798145388,-0.0840558976492753,-0.163776839419558,-0.145419115920631,-0.0448331480100292,-0.0448331480100292,-0.033146049465653,-0.126626489769209,0.0895613523171303,0.0394100732561585,0.196481421960259
