"","miR200","OVOL2","miR34","miR145","GRHL2","Ecad","ZEB","NRF2","OCT4","SNAIL","KEAP1"
"OVOL2",0.426989334118585,0.411414668567228,0.277570903322641,0.273327845896287,0.260279419698792,0.260279419698792,-0.252483816609071,0.0217503170098604,-0.257840471941276,-0.242629102859441,-0.415238047578185
"SNAIL",-0.0814047611588992,0.1867070642555,-0.125464350178516,0.161676306752068,0.15530551114122,0.15530551114122,-0.136248888083166,-0.115975057334865,-0.135817945610059,0.344250234469565,0.0969455174422546
"KEAP1",-0.0856056145153536,0.181911554014557,-0.126917242582267,0.159068185303252,0.153262703905984,0.153262703905984,-0.130389658583959,-0.21214420379966,-0.124405608616135,0.447996663816372,0.106586284010875
"Ecad",0.182468623158729,0.235989959641246,0.092395700388045,0.122679428146267,0.120614407136158,0.120614407136158,-0.0839291361116571,-0.126442312973935,-0.0753324893707568,0.130603049830394,-0.153953555585489
"miR145",0.255789674762001,0.246903919138477,0.127610755384083,0.117594040800645,0.115595471808199,0.115595471808199,-0.0740866617557634,-0.00739034576802299,-0.164552907961805,-0.164520161922412,-0.223374155362752
"GRHL2",0.236585638138673,0.228586362791117,0.123559325655228,0.115014478748769,0.11335958646893,0.11335958646893,-0.0736739396268555,-0.00760192097978357,-0.0649317794434428,-0.148440975857992,-0.206438579315144
"miR200",0.235553642063732,0.217470234407783,0.128391618106817,0.107226717702008,0.105467018507625,0.105467018507625,-0.0661884289783213,0.0970462303808334,-0.0585843592846303,-0.196965828075937,-0.306483095495339
"ZEB",-0.215625525635477,-0.209649248899148,-0.0876171891567118,-0.0743501030328466,-0.0736739396268555,-0.0736739396268555,0.0112689281481489,0.0474079758520636,0.115014478748769,0.173794332748451,0.236585638138673
"OCT4",-0.315549659000097,-0.205997086187704,-0.0816590115989608,-0.161935568320957,-0.061667369160474,-0.061667369160474,0.111006893618083,-0.0473658436827289,0.212902386177247,0.203566592531677,0.339879495829934
"NRF2",0.0969455174422546,-0.172452094555098,0.1483990394739,-0.135817945610059,-0.130389658583959,-0.130389658583959,0.15530551114122,0.138167117056616,0.159068185303252,-0.433209357941963,-0.0856056145153536
"miR34",0.0969455174422546,-0.172452094555098,0.1483990394739,-0.135817945610059,-0.130389658583959,-0.130389658583959,0.15530551114122,0.138167117056616,0.159068185303252,-0.433209357941963,-0.0856056145153536
