"","OVOL2","ZEB","GRHL2","Ecad","miR34","miR200","miR145","OCT4","KEAP1","SNAIL","NRF2"
"OVOL2",0.261383678556369,-0.0899933413283609,0.100361731108515,0.100361731108515,0.101439770770331,-0.14736199854754,0.0885444223043073,-0.0787452324396171,0.159845419418673,-0.0473127964277306,-0.109212780368748
"ZEB",-0.145905759811813,-0.0606712897170649,-0.0230752177307471,-0.0230752177307471,-0.0220915864979418,-0.00886381603582726,-0.00511706207562384,0.0205289125390207,0.0285902287180057,0.0548926421393058,0.0565502638507036
"SNAIL",0.0855923070026727,-0.030848033701031,0.0555107483371716,0.0555107483371716,-0.0409734487733681,-0.0470111623729221,0.0448346243302895,-0.0216014022316614,0.0767470561830759,-0.0270659501103712,-0.0313944750849938
"KEAP1",0.0883082768845626,-0.0262931143169762,0.0610400000842702,0.0610400000842702,-0.0345943930180383,-0.0413742072347011,0.0492619966707794,-0.0165932850143376,0.0830998083662428,0.0810971912165019,-0.124408295717958
"Ecad",0.158603505571992,-0.022134640482547,0.0442328336525403,0.0442328336525403,0.047748200569186,0.0328378282775661,0.0227204240322044,-0.00204015192336089,-0.00637094336192771,0.0758609067890718,-0.131287910611219
"miR200",0.152287853492142,-0.0209513283046911,0.041682443848984,0.041682443848984,0.0471795866509819,0.0324233819533817,0.0195880428287785,-0.000177647173231552,-0.107583715063365,-0.0254153606529065,0.0710757721315444
"miR145",0.143379130577455,-0.0084346875076,0.0245856629906176,0.0245856629906176,0.0269162900239379,0.00948028549424841,-0.0849505747533315,-6.62829675046411e-05,0.00978546335848418,-0.0211685952688646,-0.0265111294795156
"OCT4",0.00194353737781979,-0.00163091683820022,0.00288782180977976,0.00288782180977976,-0.000979983955179103,-0.071534708127983,0.0745375991055653,-0.0733201247680146,0.073078997172272,0.0218241568944156,-0.0829389716840536
"GRHL2",-0.155584201123392,0.0230752177307471,-0.0424257848330558,-0.0424257848330558,-0.0445971502961614,-0.0285902287180057,-0.0205289125390207,0.00243430453372794,0.00542846401212337,0.0250928777105661,0.0319050415233621
"NRF2",-0.070850278345483,0.0555107483371716,-0.0262931143169762,-0.0262931143169762,0.0748967136482278,0.0767470561830759,-0.0216014022316614,0.0492619966707794,-0.0413742072347011,-0.0278223769018496,0.0686527037921536
"miR34",-0.070850278345483,0.0555107483371716,-0.0262931143169762,-0.0262931143169762,0.0748967136482278,0.0767470561830759,-0.0216014022316614,0.0492619966707794,-0.0413742072347011,-0.0278223769018496,0.0686527037921536
