"","miR200","ZEB","OCT4","miR34","GRHL2","Ecad","NRF2","miR145","OVOL2","SNAIL","KEAP1"
"ZEB",-0.118019114206232,-0.0763822980704291,-0.0314795919215525,-0.0229924768953195,-0.0224306790967329,-0.0224306790967329,0.0124761098929493,0.0295218703762021,0.0300203960882809,0.0434135417734019,0.119399835249443
"OVOL2",-0.0403401128352371,-0.0363576690388105,0.0353780139004762,0.0388028176756659,0.0390136405183113,0.0390136405183113,-0.0365498715386772,-0.0396096781252456,-0.0753612272174671,-0.0417326214649956,0.043507389613846
"SNAIL",-0.0411256053641408,-0.0358199051529822,0.0343853920337874,-0.0567084740042994,0.0394278364694172,0.0394278364694172,-0.0359905019515377,-0.0402660001168427,-0.044649897926209,-0.0412909056657247,0.0454270239656096
"KEAP1",-0.0391761047127783,-0.0342476377993572,0.0304951568109463,-0.0527893562376321,0.0416952921857871,0.0416952921857871,-0.132487461975056,-0.0429184696943819,-0.0476020231839354,0.0658168389277536,0.0481812909456873
"GRHL2",0.119399835249443,-0.0224306790967329,0.0287008952626044,0.0257743760051118,0.0241866811693911,0.0241866811693911,-0.00980345142558883,-0.0314795919215525,-0.032174680897405,-0.0384959917145091,-0.117357351589313
"Ecad",0.0917672683454075,-0.0217748665652003,0.0261021458898628,0.0286028711034531,0.0245466005544161,0.0245466005544161,-0.115843142700789,-0.0305919418082301,-0.0326530121995982,0.0622294066899507,-0.0884851395785142
"miR200",0.122328390174602,-0.0189207027411766,0.024756673798434,0.029200982263975,0.0212445286968568,0.0212445286968568,0.0939555519392054,-0.0285270384221733,-0.0314914536713117,-0.0394669029722156,-0.219600334273386
"miR145",0.00499799227483981,-0.0153163961414792,-0.194442369160748,0.0154284696107828,0.0165871222031732,0.0165871222031732,-0.0783976671437142,0.0924599011904179,-0.0244628588989184,-0.0235975253087821,-0.00352114621726784
"OCT4",0.139751944565694,0.00203444050010274,0.138222626372826,0.00216429726327367,-0.00263487281136685,-0.00263487281136685,0.123712860572943,-0.137148384310281,0.00152527187992024,-0.0273400568553607,-0.140451245264994
"NRF2",0.0454270239656096,0.0394278364694172,-0.0429184696943819,0.065286694964479,-0.0342476377993572,-0.0342476377993572,0.0439986458266649,0.0343853920337874,0.0381425637244759,-0.0432645094206638,-0.0391761047127783
"miR34",0.0454270239656096,0.0394278364694172,-0.0429184696943819,0.065286694964479,-0.0342476377993572,-0.0342476377993572,0.0439986458266649,0.0343853920337874,0.0381425637244759,-0.0432645094206638,-0.0391761047127783
