"","KEAP1","miR200","miR145","ZEB","GRHL2","Ecad","miR34","SNAIL","OVOL2","OCT4","NRF2"
"miR145",0.161716239139816,0.167081278772691,0.0696601270616889,-0.054968910239829,0.0623806916182597,0.0623806916182597,0.0553033336699033,-0.0159064513455577,-0.0548589677806638,-0.156915690109565,-0.216595781011308
"miR200",0.233970093430435,0.137540496416939,0.0641698386282723,-0.0537303986181219,0.0587932120111235,0.0587932120111235,0.0495268473654304,0.0309968121695131,-0.0535202601712566,-0.0554964484032917,-0.25940022612487
"ZEB",-0.144473320218888,-0.141801369311191,-0.051590654508327,-0.0479490242616244,-0.0472299189855148,-0.0472299189855148,-0.0404267293313801,0.0300581055209353,0.0432072741468268,0.0586717749915093,0.163844597117435
"GRHL2",0.140061555513005,0.144473320218888,0.0586717749915093,-0.0472299189855148,0.0536263724370664,0.0536263724370664,0.0438484652364246,-0.0237860207152816,-0.051159119545211,-0.0479539450212811,-0.159421702131626
"Ecad",0.112251125226348,0.117060996795222,0.0552099968466125,-0.043678046180305,0.0507918480911932,0.0507918480911932,0.12759308408561,0.0461163653742463,-0.0500941315051037,-0.0435093165745037,-0.247050199703467
"OVOL2",-0.0355174107735119,-0.0304083864220874,0.0514226558491215,-0.0422921664041396,0.050539344063082,0.050539344063082,0.0432834168842662,-0.0584770948351408,-0.0835095814504317,-0.0385208201169833,0.000782920735186625
"SNAIL",-0.0218728842529656,-0.0185932236225774,0.0432228790647317,-0.0370172583919493,0.0423371684491856,0.0423371684491856,0.0730392279373792,-0.0880447388826007,-0.0468245624503239,-0.034865444878599,0.00232177229266427
"KEAP1",-0.0240053219835329,-0.0173575143456263,0.0464186567673813,-0.0348254699022683,0.0452415844000155,0.0452415844000155,0.0745699729936183,0.014594464307235,-0.0503855134725069,-0.0301609880557249,-0.0957890049205539
"NRF2",0.0173575143456263,0.0218728842529656,-0.034865444878599,0.0423371684491856,-0.0348254699022683,-0.0348254699022683,-0.0688854935386471,-0.00493882622485819,0.037712029177401,0.0464186567673813,0.00195376214914095
"miR34",0.0173575143456263,0.0218728842529656,-0.034865444878599,0.0423371684491856,-0.0348254699022683,-0.0348254699022683,-0.0688854935386471,-0.00493882622485819,0.037712029177401,0.0464186567673813,0.00195376214914095
"OCT4",-0.253827761659342,-0.249165756997337,-0.157341396371405,0.0615469066185567,-0.0518839492892797,-0.0518839492892797,-0.0476078404328949,-0.0118468513956735,0.0431236828830097,0.170542637717789,0.296469270574598
