"","miR200","miR145","GRHL2","Ecad","miR34","OVOL2","ZEB","NRF2","SNAIL","OCT4","KEAP1"
"NRF2",0.15259322282958,0.121983684752591,0.116293507700066,0.116293507700066,0.148505778320847,0.082975315993569,-0.134740269049709,-0.00812123658292076,-0.0963140220272021,-0.143268440265534,-0.158579397266997
"miR34",0.15259322282958,0.121983684752591,0.116293507700066,0.116293507700066,0.148505778320847,0.082975315993569,-0.134740269049709,-0.00812123658292076,-0.0963140220272021,-0.143268440265534,-0.158579397266997
"OVOL2",0.148975764402798,0.137693133382276,0.130514010108878,0.130514010108878,0.13508735216386,-0.00842727007723557,-0.117721377904481,0.00495446307500441,-0.086388370375157,-0.119999433477079,-0.14296483544105
"miR200",0.160766229288117,0.103819503385285,0.101124743374859,0.101124743374859,0.096866834748116,0.082246231812171,-0.0805985127176097,0.0604461326715883,-0.0436710916638032,-0.0749754382184895,-0.250457049619313
"GRHL2",0.15275048750239,0.093814148642225,0.0913465998737866,0.0913465998737866,0.0898093275019973,0.0779545027337155,-0.0675398176756174,-0.0351988787294131,-0.0391191847086409,-0.0611644628995852,-0.141373853515462
"Ecad",0.1001044022141,0.0632024968998495,0.0590231742138961,0.0590231742138961,0.0596517883420183,0.0569420879198109,-0.0431211781870302,-0.129093109171125,0.064059144287967,-0.041569843838625,-0.0922894101885813
"miR145",0.0297721985879397,0.0664526772922187,0.0601101126904492,0.0601101126904492,0.0585852862686082,0.0579688492785036,-0.040312295127031,-0.0970202185409065,-0.0213214732143232,-0.139628671897748,-0.0205189653797628
"ZEB",-0.144325532247979,-0.0687907184641556,-0.0675398176756174,-0.0675398176756174,-0.0622128883328578,-0.0511051442670594,-0.0121562190562436,0.0592291530908133,0.075470774814648,0.093814148642225,0.15275048750239
"OCT4",0.144371138985822,-0.134824216575417,0.00508718697084869,0.00508718697084869,0.00904156117098176,0.00289076435188586,-0.00416652409357705,0.122470185461169,-0.027539008741256,0.136375899554648,-0.144021488636172
"KEAP1",-0.158579397266997,-0.143268440265534,-0.136781183289783,-0.136781183289783,-0.170243057435176,-0.106203950033014,0.116293507700066,-0.111791474819152,0.0699129416760879,0.113820587504798,0.149951391609288
"SNAIL",-0.158856051821962,-0.141494252049587,-0.134740269049709,-0.134740269049709,-0.168508419805362,-0.102905088888172,0.120487407234501,-0.00809864804551494,-0.0265262645298987,0.121983684752591,0.15259322282958
