"","NRF2","miR200","ZEB","miR34","miR145","GRHL2","OVOL2","Ecad","OCT4","SNAIL","KEAP1"
"NRF2",0.114391797679318,0.147575548018369,-0.0944304228425138,0.137557767544039,0.100648642781482,0.0942908612301667,-0.0755973916736592,-0.0942908612301667,-0.100456888227311,-0.0912179649300278,-0.146560692892616
"miR34",0.114391797679318,0.147575548018369,-0.0944304228425138,0.137557767544039,0.100648642781482,0.0942908612301667,-0.0755973916736592,-0.0942908612301667,-0.100456888227311,-0.0912179649300278,-0.146560692892616
"ZEB",-0.141994475187059,-0.135975147010369,-0.0609176830139344,-0.0476425279458768,-0.0467466345121459,-0.0390022329868487,0.0387915391505051,0.0390022329868487,0.0463092711881847,0.100165015445397,0.135853694696383
"miR145",0.201144148743512,0.161943708276088,-0.0524627691618947,0.0601012948971197,0.063277973923894,0.0518344919641054,-0.0429196759243831,-0.0518344919641054,-0.163642100693955,-0.114295929923129,-0.161351301100452
"miR200",0.249360528158606,0.144891757765608,-0.0453489277841566,0.0569245478726786,0.0529988534212987,0.0450631672838061,-0.0421624034085034,-0.0450631672838061,-0.0534177828239364,-0.0912616899555065,-0.244346146585365
"OVOL2",-0.00410228723056246,-0.0380591768777573,-0.0403753472886968,0.0409103696373731,0.0402635803271974,0.0398287043891127,-0.0742709037437825,-0.0398287043891127,-0.0414098356060046,-0.0620024227916928,0.0380857034839433
"GRHL2",0.141923519652527,0.135853694696383,-0.0390022329868487,0.0473550650378649,0.0463092711881847,0.0387431507138335,-0.0383638502545761,-0.0387431507138335,-0.0467062278537487,-0.100047229815244,-0.135506472474161
"Ecad",0.0116762901340763,0.0876528856500811,-0.020155749378893,0.029639697985785,0.0278423841751264,0.0199949320484606,-0.0269056785693721,-0.0199949320484606,-0.0284138127465549,0.0319699419439978,-0.087291935427635
"OCT4",-0.277495305514158,-0.25354639902264,0.0497713163631098,-0.0588768463934345,-0.160367029013471,-0.0501796103347694,0.0438229661327922,0.0501796103347694,0.157860464200867,0.10173460772197,0.252584860561102
"KEAP1",-0.212700581094484,-0.146560692892616,0.0942908612301667,-0.136471968097584,-0.100456888227311,-0.0939993160406623,0.0757800067211391,0.0939993160406623,0.0990765201291517,0.092838491601196,0.146985021039716
"SNAIL",-0.114425730492348,-0.147470635369553,0.0944866370698236,-0.137353052494181,-0.100908190427014,-0.0944304228425138,0.0757503055321856,0.0944304228425138,0.100648642781482,-0.00741246069154822,0.147575548018369
