"","SNAIL","ZEB","miR200","miR145","OVOL2","GRHL2","Ecad","miR34","NRF2","OCT4","KEAP1"
"miR34",0.033046980448042,-0.0905071529934939,0.0897985650518435,0.0884579944601767,0.0668309614778193,0.0824043699707535,0.0824043699707535,-0.0170450320090956,-0.000369183658608166,-0.0985730471926791,-0.0995499990862603
"SNAIL",-0.0688914940568042,-0.0838840949395282,0.0980501729522221,0.0970082354687047,0.0757509365585238,0.0905071529934939,0.0905071529934939,-0.0109762213374982,0.0100821227546935,-0.0884579944601767,-0.0897985650518435
"KEAP1",0.0307512343305538,-0.0824043699707535,0.0995499990862603,0.0985730471926791,0.0775687262696381,0.0920783694406714,0.0920783694406714,-0.00965733773615547,-0.0877668923329126,-0.0858429858429858,-0.0877159585393485
"ZEB",-0.0823239802424746,-0.0570184776005464,-0.0375645210916284,-0.0309662592160245,-0.0304338810719695,-0.0274220911738125,-0.0274220911738125,-0.0146430790851389,0.047784801729117,0.0506996758566576,0.0567092411120835
"Ecad",0.0962266348420417,-0.0362325271275586,0.114487124605883,0.0576857154645615,0.0540867300530705,0.0533832224260166,0.0533832224260166,0.0433052801812339,-0.115014668051771,-0.0356993209067383,-0.0932917917762007
"OVOL2",0.0754638670630642,-0.0337152270032942,-0.0387026284911595,0.0562691431796251,-0.0403336256997439,0.0554026898672276,0.0554026898672276,0.045351665074343,-0.0298912017722475,-0.0286814503415659,0.0654361422054149
"miR145",0.0815402422061103,-0.032890781694458,0.0607107575309127,0.0599636423979277,0.0543684557343609,0.0534066303410639,0.0534066303410639,0.0380224211493699,-0.0233648303024985,-0.133652111716876,-0.0352706240307041
"miR200",0.00600146129317512,-0.0241917848865048,0.043189416605603,0.0470127392392997,0.0493850996937457,0.0425397656920259,0.0425397656920259,0.029284824542887,0.0726734242146766,-0.0236302722105953,-0.120570482940436
"GRHL2",-0.0779364655192708,0.0274220911738125,-0.0567092411120835,-0.0506996758566576,-0.0511847126892672,-0.0461969198916431,-0.0461969198916431,-0.0287380345747532,0.0231868830914633,0.0267168773121654,0.0334862018963973
"OCT4",-0.0350125740237194,0.048801902335007,-0.128813141474077,-0.129642747458603,-0.0261319758593704,-0.0251288577429007,-0.0251288577429007,-0.0162358085925043,-0.0436026999503229,0.159506676797347,0.157804982965918
"NRF2",-0.033046980448042,0.0905071529934939,-0.0897985650518435,-0.0884579944601767,-0.0668309614778193,-0.0824043699707535,-0.0824043699707535,0.0170450320090956,0.000369183658608166,0.0985730471926791,0.0995499990862603
