"","miR34","ZEB","miR200","OVOL2","GRHL2","Ecad","miR145","OCT4","KEAP1","SNAIL","NRF2"
"SNAIL",-0.131588228516448,-0.102221599669789,-0.133943114813614,0.109069478492212,0.138040283234793,0.138040283234793,0.120207927678865,-0.0893069265665175,0.169097975006106,0.317059708593124,0.00768507204755117
"miR200",0.0639493654522522,-0.0251834662752518,0.0666797570419709,0.0891029435762949,0.0928440043676657,0.0928440043676657,0.0575893869796101,0.000114259257783256,-0.100737381240305,0.0576156570393969,-0.245862727167031
"Ecad",0.0644156273729051,-0.0242576580399611,0.0670864055660487,0.0894556449704667,0.0929171982915929,0.0929171982915929,0.0593541822129271,-0.000796359083675446,-0.000176307354011396,0.172796232962363,-0.23417957227167
"ZEB",-0.0221049453179136,-0.0209769799879623,-0.0165273923652631,-0.00923410705066099,-0.00748309368931703,-0.00748309368931703,0.0134187551022741,0.0480307919142832,0.0865286708106735,0.116077585278957,0.168048061406714
"OVOL2",0.0888712774363507,-0.00977718005236213,-0.0113820132476082,-0.0122696419996532,0.0853683862318036,0.0853683862318036,0.069032834125061,-0.00450641854288395,0.0850994518385149,-0.0796046527723066,0.011073663598427
"GRHL2",0.0886108800360145,-0.00748309368931703,0.0865286708106735,0.0859013017283103,0.0825996807121739,0.0825996807121739,0.0480307919142832,0.0157469123530009,-0.013489455124399,-0.0865575617218313,-0.144916557149382
"OCT4",0.00606279119185309,0.00327070479262182,-0.0660794255060101,-0.00248327368430281,-0.00436749448119759,-0.00436749448119759,0.0681087257181891,-0.0691829677807339,0.0649430618696465,-0.0539503207928107,0.0813522892863057
"miR145",0.0557512461829978,0.0108919146588641,0.0497339482019959,0.0636532634401202,0.0505044668423877,0.0505044668423877,-0.0710984637047491,0.022925840643387,0.00973205096362785,-0.0707458202407079,-0.165675252707249
"KEAP1",0.130426267766169,0.100153410235861,0.132489650252465,-0.110597806236465,-0.139087945088763,-0.139087945088763,-0.121234059835933,0.0868782316150737,-0.171103511638604,-0.417308939403504,0.0905225793667511
"NRF2",0.165022818756163,0.138040283234793,0.169097975006106,-0.0704955418098765,-0.100153410235861,-0.100153410235861,-0.0893069265665175,0.121234059835933,-0.132489650252465,-0.402184023805935,0.0033430921872639
"miR34",0.165022818756163,0.138040283234793,0.169097975006106,-0.0704955418098765,-0.100153410235861,-0.100153410235861,-0.0893069265665175,0.121234059835933,-0.132489650252465,-0.402184023805935,0.0033430921872639
