"","OVOL2","SNAIL","ZEB","miR145","GRHL2","Ecad","miR34","miR200","KEAP1","OCT4","NRF2"
"OVOL2",0.26247014605197,0.109842570085015,-0.0971818629547881,0.106923081566189,0.0997784167278125,0.0997784167278125,0.0860790372146767,-0.157759615721745,0.160831396718084,-0.102605232733991,-0.118449881879428
"ZEB",-0.156711340854395,-0.0841160432721264,-0.0563799659884292,-0.0449328658848965,-0.0402796414220102,-0.0402796414220102,-0.0240511217545181,-0.010437935380374,0.0144266850607627,0.0502957733096595,0.0577501280967991
"miR34",0.0712069144394732,0.0313607517820076,-0.0405597969031038,0.0344275096870702,0.0343452004003536,0.0343452004003536,-0.0433831197022669,-0.0476759639614517,0.0402778171751596,-0.04449462378103,-0.0459759590480927
"GRHL2",0.158913146651955,0.0831443118233632,-0.0402796414220102,0.0502957733096595,0.0450525126293336,0.0450525126293336,0.0276397716061501,0.0144266850607627,-0.00880985499540319,-0.0424558791647704,-0.0503234488158152
"miR200",0.155384043920545,0.0107884285427062,-0.0380529328051644,0.0484336625529271,0.0433314145003172,0.0433314145003172,0.0294899062725803,0.0176235743199166,-0.111392120313982,-0.0397913041355493,0.0525123312732287
"Ecad",0.159336713237751,0.100039376459798,-0.0378071702251147,0.0478842273051228,0.0433222586746464,0.0433222586746464,0.0350073669723341,0.0214187552057067,-0.0149132570104578,-0.0388774245840343,-0.147925434032869
"SNAIL",0.0741802394663747,-0.0698824003461003,-0.0362364117845429,0.0414352961164362,0.0405597969031038,0.0405597969031038,-0.0387407106683899,-0.0425534898475075,0.0476759639614517,-0.0344275096870702,-0.0364408385866064
"KEAP1",0.0754435835410071,0.0295376592769434,-0.0343452004003536,0.04449462378103,0.0432770848424421,0.0432770848424421,-0.0366767113565143,-0.0402778171751596,0.0508860208526702,-0.0300774458669195,-0.132282560248311
"OCT4",0.00188327302378576,0.023261985757304,-0.00202302596584861,-0.137100640218612,0.00268750439031422,0.00268750439031422,-0.00189484500960386,-0.139755731248687,0.1405424445354,0.138222626372826,-0.123712860572943
"miR145",-0.146994203260234,-0.0849415131144083,0.0251341239956074,0.083481599772197,-0.0288707199614064,-0.0288707199614064,-0.0169994013564028,0.102026622219675,-0.106407097814168,-0.189590837803215,0.110304942064998
"NRF2",-0.0712069144394732,-0.0313607517820076,0.0405597969031038,-0.0344275096870702,-0.0343452004003536,-0.0343452004003536,0.0433831197022669,0.0476759639614517,-0.0402778171751596,0.04449462378103,0.0459759590480927
