"","OCT4","miR34","GRHL2","Ecad","OVOL2","miR200","KEAP1","NRF2","SNAIL","ZEB","miR145"
"miR145",0.174762617895148,0.384097926925903,0.380444119233372,0.380444119233372,0.196644871031364,0.181283891497534,-0.179590107600997,-0.156268264449229,-0.211701891091707,-0.381525889746858,-0.279577182965951
"miR200",0.363084146422032,0.333083130303784,0.345152976268285,0.345152976268285,0.177556041736541,0.149834572371705,-0.249403826703092,-0.078552428371772,-0.102781584598434,-0.346042608014659,-0.365520143318851
"GRHL2",0.359956809294747,0.351164288137072,0.342236046272206,0.342236046272206,0.175242481040423,0.158307523888399,-0.157184157875327,-0.172918169616643,-0.199546845522918,-0.342771482969771,-0.363099382897128
"Ecad",0.322170635726331,0.300725438271637,0.3037041382682,0.3037041382682,0.156030038967844,0.171184162501371,-0.171377228899423,-0.243476230756456,-0.191014896490604,-0.304612283192994,-0.323422336406603
"NRF2",0.117627329114252,-0.00758027547658493,0.108323840128649,0.108323840128649,0.0826355195569493,-0.0321959550517542,0.0288572287684772,-0.0804219822069061,0.0153786570884661,-0.110302331221334,-0.114463378970436
"SNAIL",0.114463378970436,-0.00555293611186196,0.110302331221334,0.110302331221334,0.0853030168667981,-0.0301934918852167,0.0321959550517542,-0.0764857758954029,-0.0840103020350063,-0.109413124352978,-0.11697728330859
"OVOL2",0.111583887082195,0.113693390623109,0.105971947938167,0.105971947938167,-0.0250149370708943,-0.0282806400073301,0.029177239296417,-0.0738005928962284,-0.113198516127883,-0.105621383469955,-0.113023170026262
"KEAP1",-0.110111991690939,0.00483384158261005,-0.110947746834188,-0.110947746834188,-0.0868356656489873,0.0288572287684772,-0.0351278558311835,-0.0270521039905843,-0.0176068812613223,0.108323840128649,0.117627329114252
"miR34",-0.117627329114252,0.00758027547658493,-0.108323840128649,-0.108323840128649,-0.0826355195569493,0.0321959550517542,-0.0288572287684772,0.0804219822069061,-0.0153786570884661,0.110302331221334,0.114463378970436
"ZEB",-0.363099382897128,-0.351887581905618,-0.342771482969771,-0.342771482969771,-0.175076157580895,-0.158198856028517,0.158307523888399,0.174502843221184,0.200283005711375,0.243374782430538,0.363869975420298
"OCT4",-0.197573474634,-0.357444270476219,-0.361587594081466,-0.361587594081466,-0.186263412102567,-0.265939711019943,0.265444373024605,0.0640488648782911,0.140060001355148,0.364365594241581,0.202133035388357
