"","miR200","SNAIL","ZEB","miR145","GRHL2","Ecad","OVOL2","NRF2","miR34","OCT4","KEAP1"
"OVOL2",0.133011275316311,0.0852068439559693,-0.0987664361869008,0.107739818249885,0.100632152170264,0.100632152170264,-0.0271408180277464,0.0101704520482738,-0.105222589086501,-0.104163157041577,-0.132868031642907
"ZEB",-0.128913601735262,-0.0937906336590197,-0.0519185210663866,-0.0491154236300678,-0.0445987147898893,-0.0445987147898893,-0.042166313756188,0.0317647922714654,0.0514624588663079,0.0546449456544352,0.129220428633754
"miR145",0.154501384555979,0.0914380391925407,-0.0516838054272085,0.0654503440639825,0.0580090924034474,0.0580090924034474,0.0521403272772042,-0.0274325228608773,-0.0631613916835131,-0.154324248312128,-0.152991163446259
"Ecad",0.0999331607186626,0.129364547437814,-0.0416985731579442,0.0536354382873241,0.0491623892585969,0.0491623892585969,0.0494320234807684,-0.12902727041573,-0.147012638183258,-0.0413633294437867,-0.0980948328415535
"SNAIL",-0.0394680767700532,-0.0296869865169977,-0.0414129988571698,0.052202427303511,0.0511278394131796,0.0511278394131796,0.0538113544541371,-0.0381989195030005,-0.111217851752214,-0.0369039475111491,0.0418354534976909
"miR200",0.131200775715299,0.00768457672489419,-0.0411452214851172,0.0524754023958027,0.0474373442003811,0.0474373442003811,0.0483903057201426,0.0770201023132848,-0.0378583810348167,-0.0419711355222573,-0.229755384693953
"KEAP1",-0.0381731502177968,0.0685549389482222,-0.0373276588040342,0.0580928257470072,0.0565961454194596,0.0565961454194596,0.0602401549807535,-0.132154787593401,-0.115803003783299,-0.0287983472193999,0.0442551869929028
"GRHL2",-0.129220428633754,-0.0896681366036605,0.0445987147898893,-0.0546449456544352,-0.0494982484417979,-0.0494982484417979,-0.0484311640650745,0.0266796456300273,0.0564976962550319,0.0460442179005483,0.128301310986695
"NRF2",0.0418354534976909,-0.0779404892520709,0.0511278394131796,-0.0369039475111491,-0.0373276588040342,-0.0373276588040342,-0.0371210899697966,0.0527221634799261,0.0982811813434441,0.0580928257470072,-0.0381731502177968
"miR34",0.0418354534976909,-0.0779404892520709,0.0511278394131796,-0.0369039475111491,-0.0373276588040342,-0.0373276588040342,-0.0371210899697966,0.0527221634799261,0.0982811813434441,0.0580928257470072,-0.0381731502177968
"OCT4",-0.242130756537529,-0.0418507010512789,0.0535057711805858,-0.149186150337034,-0.0439228714928106,-0.0439228714928106,-0.0389379292370232,-0.0647193293591654,0.0421883867822923,0.163390017608459,0.243383670290443
