"","ZEB","miR34","OVOL2","miR200","GRHL2","Ecad","OCT4","miR145","KEAP1","NRF2","SNAIL"
"SNAIL",-0.102774565105797,-0.167374101547575,0.0852217862843001,-0.173078787538704,0.107787852104979,0.107787852104979,0.090108934749234,0.0954407849531643,0.179478459116499,-0.126964032513469,0.364347377566555
"KEAP1",-0.100867238033885,-0.164357711254263,0.0875275678330585,-0.170138850350504,0.109428064962059,0.109428064962059,0.0872632030526767,0.0967724055066645,0.180747054028015,-0.222131781494328,0.462376877798884
"ZEB",-0.0696207989184689,-0.0366783219629525,-0.0300417377715529,-0.0239731661930632,-0.022924270576646,-0.022924270576646,-0.0130178015112371,-0.00532228969201398,0.0337340969013219,0.0448697000470167,0.113084566357436
"Ecad",-0.0355176873026802,0.0230319299900192,0.0477397448662414,0.0158727793849809,0.0452140263434522,0.0452140263434522,0.014788862728859,0.0246664137492672,-0.00334025189400471,-0.14711038065625,0.166833462907142
"GRHL2",-0.022924270576646,0.0464520608353561,0.0416130984558551,0.0337340969013219,0.0328672724765827,0.0328672724765827,0.00306080515000657,0.0130178015112371,-0.0207847504960932,-0.0305130302267707,-0.105708241269097
"miR200",-0.0186194757457248,0.0587998541963716,0.0397421193669748,0.0444790066984413,0.028718143993959,0.028718143993959,-0.000734649446035568,0.00930414031346792,-0.131259900735007,0.0758214389871259,-0.159803938674591
"miR145",0.0057508721194793,0.00893736955642792,0.0185662316380984,-0.0814815427745771,-4.91384523244931e-05,-4.91384523244931e-05,-0.0063565524428207,-0.10065189971187,0.0888490855363627,-0.0773646773359488,-0.0736409429555419
"OCT4",0.0110993486895488,-0.0216783315474227,-0.0156302061038385,-0.0531624336941805,-0.00110014926596385,-0.00110014926596385,-0.0382729509526913,-0.0276498905564153,0.0663617343934812,-0.028884360821328,0.124911272680857
"OVOL2",0.0880779413954601,-0.106081622037201,-0.0998367711419823,-0.102348341482092,-0.0929323680145926,-0.0929323680145926,-0.0775899783537947,-0.0824766455950255,0.0959660400337391,-0.00824424805350163,0.126049703451121
"NRF2",0.107787852104979,0.173746682938317,-0.0772646021646875,0.179478459116499,-0.100867238033885,-0.100867238033885,-0.0967724055066645,-0.090108934749234,-0.170138850350504,0.136261623283744,-0.458258039176332
"miR34",0.107787852104979,0.173746682938317,-0.0772646021646875,0.179478459116499,-0.100867238033885,-0.100867238033885,-0.0967724055066645,-0.090108934749234,-0.170138850350504,0.136261623283744,-0.458258039176332
