"","ZEB","OVOL2","miR200","GRHL2","Ecad","miR34","miR145","OCT4","NRF2","KEAP1","SNAIL"
"NRF2",-0.102459403662787,0.0726016920625322,0.113846795060925,0.0935028319527467,0.0935028319527467,0.130695635445696,0.0839251632587032,-0.0929855659432669,-0.0012392656094589,-0.128363635772795,-0.0853577206782769
"miR34",-0.102459403662787,0.0726016920625322,0.113846795060925,0.0935028319527467,0.0935028319527467,0.130695635445696,0.0839251632587032,-0.0929855659432669,-0.0012392656094589,-0.128363635772795,-0.0853577206782769
"ZEB",-0.0655098692372373,-0.0320037321817303,-0.0315924399734221,-0.0268109650600701,-0.0268109650600701,-0.0259036753149798,-0.00844191973427275,0.0163873534529023,0.0433811450276745,0.0461539331976615,0.0522370954173612
"miR200",-0.0377358919572694,0.0484112051054297,0.0518361311918935,0.04638958258109,0.04638958258109,0.0503781253514616,0.0245159696819169,-0.0155943249961139,0.0696257424370884,-0.135266781139247,-0.0350466592592033
"OVOL2",-0.0352376805315909,-0.0466367756427381,-0.0459903899721016,0.0477153988916622,0.0477153988916622,0.0498470282460862,0.038448500989817,-0.0256500867865937,-0.0330900022879802,0.0689571256079443,-0.0314769197119696
"miR145",-0.0128376989882004,0.0322044239575443,0.0224899111940803,0.0211564669980261,0.0211564669980261,0.0238550157751076,-0.087419933067941,-0.00412423416064964,-0.021919885075615,-0.00699554323413037,-0.0252148805010466
"Ecad",-0.01201556992115,0.0309601805602164,0.0350644185370798,0.018391504080643,0.018391504080643,0.0241148335493124,0.00456605798721782,0.00196455425768013,-0.121956410339676,-0.0225990445758609,0.070547011957444
"OCT4",0.00301176453786686,-0.00190754673538682,-0.0750942029293603,-0.00350011615102833,-0.00350011615102833,-0.00669587332296241,0.0688558654680572,-0.0694049225222467,-0.0821229632389469,0.0744240397591971,0.0217200489162326
"GRHL2",0.0268109650600701,-0.0440899035740952,-0.0461539331976615,-0.0370994099906936,-0.0370994099906936,-0.0399522658194308,-0.0163873534529023,0.0058680018154561,0.0256186095499073,0.0270567109754393,0.0294308527789631
"KEAP1",0.0935028319527467,-0.0860786825665498,-0.128363635772795,-0.105138135424785,-0.105138135424785,-0.144044581581527,-0.0929855659432669,0.0810223757592179,-0.116273009349625,0.110211820591277,0.0667216639598434
"SNAIL",0.0957085860012988,-0.0829601901086329,-0.125419116367316,-0.102459403662787,-0.102459403662787,-0.141545533088171,-0.0908587932179171,0.0839251632587032,-0.0127410533589836,0.113846795060925,-0.0304450606112301
