"","OCT4","GRHL2","Ecad","miR34","OVOL2","miR200","SNAIL","KEAP1","NRF2","ZEB","miR145"
"miR145",0.178797101772067,0.386688457009954,0.386688457009954,0.343511996229977,0.200374953306852,0.173992321965209,-0.115084873522587,-0.170846723300212,-0.160998928645024,-0.387515137533361,-0.285553676283194
"GRHL2",0.365924573449589,0.350029093442421,0.350029093442421,0.309960574872831,0.179661656174158,0.150218742346339,-0.102348161119639,-0.148033284829999,-0.179444234730494,-0.350495441533849,-0.370654973714227
"Ecad",0.353521438628987,0.339879617228579,0.339879617228579,0.287056966429782,0.17734420309792,0.121502312951482,-0.00448548765031258,-0.11895887301192,-0.278031690911317,-0.339983675501212,-0.358310554275245
"miR200",0.353373705591937,0.338214096670642,0.338214096670642,0.286123562061103,0.174742534832995,0.149244490331324,-0.0814053967305299,-0.246784453957245,-0.0716080583790043,-0.338381239604809,-0.35807502444376
"OVOL2",0.114260885130655,0.110376305433853,0.110376305433853,0.101741111303597,-0.0223036526278147,-0.0311758630054043,-0.0634915183483214,0.0340990950071021,-0.0763441626689276,-0.109146358909789,-0.117406623301817
"SNAIL",0.103569334389862,0.0989647090281327,0.0989647090281327,0.106191717260221,0.0785849025959697,-0.0191033182783804,-0.0919704140555893,0.0208229734350652,-0.0660375411196278,-0.0982696967632103,-0.105475155672769
"KEAP1",0.100329652961232,0.0989604356459489,0.0989604356459489,0.105976169424445,0.0792920986816927,-0.0183373137792334,0.00944662201842935,0.0225334476783376,-0.163474919529362,-0.09739669326588,-0.105391002654483
"NRF2",-0.105391002654483,-0.09739669326588,-0.09739669326588,-0.105656816646076,-0.0766989650074779,0.0208229734350652,-0.00573291506366905,-0.0183373137792334,0.0685485692838626,0.0989647090281327,0.103569334389862
"miR34",-0.105391002654483,-0.09739669326588,-0.09739669326588,-0.105656816646076,-0.0766989650074779,0.0208229734350652,-0.00573291506366905,-0.0183373137792334,0.0685485692838626,0.0989647090281327,0.103569334389862
"ZEB",-0.370654973714227,-0.350495441533849,-0.350495441533849,-0.31069314163841,-0.179067643818701,-0.14931743833202,0.104114945571936,0.150218742346339,0.182589930094733,0.251796361610017,0.371363085762545
"OCT4",-0.1961595966928,-0.359444712141386,-0.359444712141386,-0.313618530163558,-0.184962643201201,-0.259614676311965,0.0997904714582122,0.262149641346931,0.0650869663851631,0.364160107225847,0.199430066972103
