"","OVOL2","ZEB","miR145","GRHL2","Ecad","miR34","miR200","KEAP1","SNAIL","OCT4","NRF2"
"OVOL2",0.26092790409641,-0.0910869591041934,0.106601675834241,0.0994410886347936,0.0994410886347936,0.0937819300804701,-0.1475709103147,0.157751821768888,-0.049561357630727,-0.0955786645440577,-0.109953708862112
"ZEB",-0.147251914727883,-0.061941669921293,-0.0290942469815566,-0.0254032785580009,-0.0254032785580009,-0.0222996707897883,-0.0124793934936072,0.0279805440944765,0.0432910339395018,0.0457661203544609,0.0544419831217769
"SNAIL",0.0750472184037501,-0.0304113357033467,0.0443361777021287,0.043453036439242,0.043453036439242,0.074949011255136,-0.0350175908014905,0.0509050149678911,-0.0767858244064947,-0.0272134487440271,-0.0286097324131193
"KEAP1",0.0769815272091566,-0.0273213559532393,0.0485461428955132,0.047437974029041,0.047437974029041,0.0772971965090192,-0.0312403584007489,0.0555213579292732,0.02705407716455,-0.0221657747973537,-0.123220024329723
"GRHL2",0.155013676172521,-0.0254032785580009,0.0457661203544609,0.0411266938380976,0.0411266938380976,0.0308957390390464,0.0279805440944765,-0.00894459638205824,-0.0265654744577586,-0.0252236129115234,-0.0334627967452395
"Ecad",0.156271074025023,-0.0244477245606807,0.0449176374339125,0.0409551505374095,0.0409551505374095,0.118070748379403,0.0346720253013387,-0.0147022443897296,0.0472723948102437,-0.0233394061413955,-0.132391445748003
"miR200",0.151944784776695,-0.0241349004751764,0.0449814875704486,0.0404448158253678,0.0404448158253678,0.0173724383949731,0.0303524365670898,-0.110585996440738,-0.021398177856447,-0.0236781516511313,0.0683065837101166
"OCT4",0.00194939584323574,-0.00179153957531971,-0.136960267706584,0.00284029467899436,0.00284029467899436,0.0059945058723205,-0.139378610100932,0.140689798912121,0.0228919936476907,0.138368718410809,-0.123499527239609
"miR145",-0.143327904587164,0.0112676408053042,0.0892113415370362,-0.0239323864238974,-0.0239323864238974,-0.0212330058682669,0.0939105265627577,-0.109171269157668,0.0140489441480156,-0.205650990896443,0.0962314496151327
"NRF2",-0.0670107456167534,0.043453036439242,-0.0272134487440271,-0.0273213559532393,-0.0273213559532393,-0.0661198492660982,0.0509050149678911,-0.0312403584007489,-0.00585218655010029,0.0485461428955132,0.0502249343133568
"miR34",-0.0670107456167534,0.043453036439242,-0.0272134487440271,-0.0273213559532393,-0.0273213559532393,-0.0661198492660982,0.0509050149678911,-0.0312403584007489,-0.00585218655010029,0.0485461428955132,0.0502249343133568
