"","KEAP1","miR145","GRHL2","Ecad","miR34","OVOL2","miR200","ZEB","SNAIL","OCT4","NRF2"
"NRF2",-0.0249836821460465,0.0209691566055053,0.021620080189859,0.021620080189859,0.0787629424421801,0.0188656452496351,-0.0765059648346772,-0.0797351774725123,-0.0954102481484972,-0.0872682937100115,-0.0101688245230185
"miR34",-0.0249836821460465,0.0209691566055053,0.021620080189859,0.021620080189859,0.0787629424421801,0.0188656452496351,-0.0765059648346772,-0.0797351774725123,-0.0954102481484972,-0.0872682937100115,-0.0101688245230185
"miR145",0.0286277299197956,0.0907866261814244,0.088690663265925,0.088690663265925,0.0832048621463492,0.0823941750223011,0.0705718267074469,-0.0419288889733274,-0.00502971856590222,-0.135506788015544,-0.209423822269186
"GRHL2",0.0264981305989289,0.0874258809810573,0.0856621197737466,0.0856621197737466,0.0821794255051743,0.0803748781971283,0.0659793397492557,-0.041393595391226,-0.0165280996823305,-0.0352922389036508,-0.152595536355078
"miR200",0.125984110826464,0.0868604863456882,0.0852116148287362,0.0852116148287362,0.0633212175998331,0.0808345995177414,0.067058103360206,-0.0391610406118817,0.051885080038331,-0.0329427206358356,-0.252004010178925
"Ecad",0.0902911662629312,0.0677933613286239,0.0638097563821794,0.0638097563821794,0.0613165208490241,0.0614656416944915,0.112409860126777,-0.0389965882807699,0.0749976533829063,-0.0380246538456307,-0.24438773791447
"OVOL2",-0.0754171450621124,0.0793030631398276,0.07844164015036,0.07844164015036,0.0815085923457424,-0.0213560410639822,-0.0320143120205717,-0.0293447892888032,-0.0436174454702617,-0.0224815514618133,0.00743492934148914
"ZEB",-0.0659793397492557,-0.0419296818766108,-0.041393595391226,-0.041393595391226,-0.0368159240214948,-0.0332894988212373,-0.0313206846738274,-0.0188722834861743,0.0609038358425189,0.0874258809810573,0.169648516487529
"KEAP1",0.0830223431550045,-0.0872682937100115,-0.0863696163679666,-0.0863696163679666,-0.142484466819442,-0.0869810579596424,0.0249836821460465,0.021620080189859,0.0377465074327646,0.0133419133419133,-0.113126320048722
"SNAIL",0.0765059648346772,-0.0806132055487756,-0.0797351774725123,-0.0797351774725123,-0.13678975351,-0.080082159946356,0.0305952774287565,0.0279772052730029,-0.0586141934865639,0.0209691566055053,-0.0103944601732829
"OCT4",-0.173417394590485,-0.134385749216698,-0.0340723825242399,-0.0340723825242399,-0.0205604040622794,-0.0259070946830136,-0.127467511140601,0.0871265815475366,0.0149392921233227,0.193946503573347,0.302557845669813
