"","SNAIL","ZEB","miR34","OVOL2","miR145","Ecad","miR200","GRHL2","KEAP1","OCT4","NRF2"
"ZEB",-0.0942601306234009,-0.0605664520303056,-0.0368008053979522,-0.0309290547702502,-0.0306427336242077,-0.0269457830251304,-0.0216105338129968,0.0269457830251304,0.0360186135879904,0.0469813777979034,0.0522286350865543
"miR34",0.0783853740993866,-0.0542662790224576,0.0910874621623229,0.0294053411927052,0.027762809367274,0.0282339335664195,-0.0716889582703178,-0.0282339335664195,0.0415521734490206,-0.0615595495398531,-0.0665555549843949
"OVOL2",0.0789465849399431,-0.034190311468234,0.0570218054916297,-0.0423152284345029,0.053868791351308,0.0529841320267604,-0.0493016497690778,-0.0529841320267604,0.070984497665518,-0.029280322851782,-0.0343131332786064
"SNAIL",-0.0305906056730534,-0.0331246191696367,0.114035358880278,0.0583966760740553,0.0552674441466584,0.0542662790224576,-0.0472716796131998,-0.0542662790224576,0.0716889582703178,-0.027762809367274,-0.0327245403932853
"miR145",0.0900146392396156,-0.0327136543775843,0.056446401382339,0.0516974206346727,0.0567872606271256,0.0500644975917181,0.0430311831211816,-0.0500644975917181,-0.0229811205429588,-0.133901218819978,-0.0316310466786768
"KEAP1",0.0681220385153218,-0.0282339335664195,0.118956314621339,0.0649787524417921,0.0615595495398531,0.0602774003037638,-0.0415521734490206,-0.0602774003037638,0.0785630173905576,-0.0203018808281966,-0.125038915595415
"GRHL2",0.0881352778554386,-0.0269457830251304,0.0506824819558157,0.048210854231679,0.0469813777979034,0.0423698143452985,0.0360186135879904,-0.0423698143452985,-0.0182285809082518,-0.0267035081320086,-0.0320772632795534
"Ecad",0.128035963590609,-0.0256535974808446,0.143387104542667,0.0499874145820874,0.0479431111862934,0.0440435322079282,0.0388183130858967,-0.0440435322079282,-0.0176061918737755,-0.0239431111862934,-0.131537300069241
"miR200",0.00625662803750124,-0.0246045768820045,0.033380699657849,0.0485771312029499,0.0460555193736541,0.0415399303084347,0.0390034333647529,-0.0415399303084347,-0.119466724261661,-0.0239143246490613,0.0708594609168864
"OCT4",-0.042173271207036,0.046487344175404,-0.026893366582806,-0.0266744572962548,-0.129829304945488,-0.0252480518849548,-0.121453760813715,0.0252480518849548,0.145987560347514,0.157449261975805,-0.0417732397747972
"NRF2",-0.0783853740993866,0.0542662790224576,-0.0910874621623229,-0.0294053411927052,-0.027762809367274,-0.0282339335664195,0.0716889582703178,0.0282339335664195,-0.0415521734490206,0.0615595495398531,0.0665555549843949
