"","OVOL2","miR145","GRHL2","Ecad","ZEB","miR34","miR200","KEAP1","SNAIL","OCT4","NRF2"
"OVOL2",0.358345909135123,0.217110823122228,0.203549673609854,0.203549673609854,-0.202812894049545,0.20697091147498,-0.101838251636979,0.103965685453096,-0.116381348987383,-0.213982321872551,-0.0645069768051738
"SNAIL",0.143250857203529,0.114975029991159,0.108318316606965,0.108318316606965,-0.104444645306883,-0.0104116300661356,-0.0326265241917584,0.0390261957695534,-0.0622762620703512,-0.108427013676736,-0.0339572483554554
"Ecad",0.178466000150449,0.0685828246155722,0.0638299903591704,0.0638299903591704,-0.0573026987122117,0.0604008139071296,0.0375429494214221,-0.0267060485568204,0.0619876453252701,-0.0573447293774769,-0.233941404686948
"GRHL2",0.168981666562007,0.0604354569508969,0.055444070725254,0.055444070725254,-0.0490706468090815,0.0524403672810115,0.0313657013808013,-0.0208673353677295,-0.0311905052104231,-0.049552228370017,-0.135002959296852
"ZEB",-0.166249209726905,-0.0534168169425662,-0.0490706468090815,-0.0490706468090815,-0.0459445691507697,-0.0445954117913973,-0.0238548345948131,0.0313657013808013,0.0413495158111298,0.0604354569508969,0.136161899694203
"miR145",0.155464234088597,0.0476292837328032,0.0374198939525172,0.0374198939525172,-0.0323417135944464,0.0335964665794203,0.0269011860785691,-0.018532391752328,-0.0172319311516962,-0.138876755074678,-0.16543726598652
"OCT4",-0.00352401052443447,-0.144319070782606,-0.00421980864067943,-0.00421980864067943,0.0037634800841187,0.000869282817315217,-0.136578551752263,0.135675288348999,-0.026092672329411,0.143388060995068,0.122871852127836
"miR200",-0.161347382485211,-0.054672188698391,-0.0497116573417577,-0.0497116573417577,0.0430097648524063,-0.0501533599164297,-0.0326127958601611,-0.0782898556187323,0.0320339894395117,0.0435783174803925,0.0324513203142495
"KEAP1",-0.143077318611034,-0.116336889036276,-0.109684140903114,-0.109684140903114,0.102448519381778,0.0084065031848283,0.0302749088155896,-0.042674720225302,-0.0412766641224441,0.103453453453453,0.132763028077999
"NRF2",-0.14011895484186,-0.108427013676736,-0.102448519381778,-0.102448519381778,0.108318316606965,0.0174974122757374,0.0390261957695534,-0.0302749088155896,-0.0291902360333151,0.116336889036276,0.0341269124206064
"miR34",-0.14011895484186,-0.108427013676736,-0.102448519381778,-0.102448519381778,0.108318316606965,0.0174974122757374,0.0390261957695534,-0.0302749088155896,-0.0291902360333151,0.116336889036276,0.0341269124206064
