"","miR200","miR34","GRHL2","Ecad","OVOL2","ZEB","miR145","NRF2","OCT4","SNAIL","KEAP1"
"OVOL2",0.160338358646409,0.132212946239824,0.129085912026527,0.129085912026527,-0.00619078611428209,-0.103518472929677,0.112017908060602,0.0178934243900411,-0.0887739194369706,-0.0868387567410203,-0.148714399815701
"NRF2",-0.0398217683993171,-0.071811070837155,0.0209807860391237,0.0209807860391237,0.0188617841068088,-0.0781599995683906,0.0169952007431122,-0.0705689224039477,-0.0682895439837642,0.0179625073246681,0.0148327994332927
"miR200",0.165089382694255,0.0754924119821569,0.0910770965638858,0.0910770965638858,0.0815365811559603,-0.0514534377511398,0.0572936794449911,0.0783323417843289,-0.0214053939523612,-0.0133676529906982,-0.247275656265615
"GRHL2",0.175229040646286,0.0907231511181912,0.0855510986969885,0.0855510986969885,0.0808307495776058,-0.0384614562305253,0.0516215507640085,-0.00932642209359766,-0.00918026727078983,-0.0907890454813657,-0.154109759600535
"Ecad",0.183365405288624,0.159435294701606,0.06406727911881,0.06406727911881,0.0620969362796822,-0.0366999534164167,0.0397750238510393,-0.100601534329109,-0.014958697320427,-0.123837524196088,-0.171067915151798
"SNAIL",-0.0172473032257551,-0.0199257112650755,0.0781599995683906,0.0781599995683906,0.0789795844126365,-0.026718871195537,0.0631427721187147,-0.0197375684847078,-0.0169952007431122,-0.0550884829829593,0.0398217683993171
"ZEB",-0.156992016867202,-0.0480302727799123,-0.0384614562305253,-0.0384614562305253,-0.0311554763319223,-0.018896483653086,-0.0135292879294776,0.0511192319327651,0.0516215507640085,0.113256654433074,0.175229040646286
"miR145",0.148810338137487,0.059881560095084,0.0543434081764949,0.0543434081764949,0.059896884746163,-0.0161224246628665,-0.0664772638872305,-0.00888816765945323,0.000718666449604094,-0.0797406846728751,-0.131747342726556
"OCT4",-0.0697818549681059,0.000407936502119487,-0.00358709650678297,-0.00358709650678297,-0.00229350882177022,0.00156163817678537,0.0686998934949734,-0.0805635030634211,-0.0705857851158853,-0.020643107360174,0.0687911789774299
"KEAP1",0.0148327994332927,0.0142637001750302,-0.0844051168103933,-0.0844051168103933,-0.0855162764369768,0.0209807860391237,-0.0682895439837642,-0.0860050001274216,0.0113877034929666,-0.0480772946305425,-0.0432627852890211
"miR34",0.0398217683993171,0.071811070837155,-0.0209807860391237,-0.0209807860391237,-0.0188617841068088,0.0781599995683906,-0.0169952007431122,0.0705689224039477,0.0682895439837642,-0.0179625073246681,-0.0148327994332927
