"","KEAP1","SNAIL","ZEB","OVOL2","miR145","GRHL2","Ecad","NRF2","miR34","OCT4","miR200"
"ZEB",-0.120328528857824,-0.0919808740798504,-0.0611406580161062,-0.0312845580393312,-0.0309562840954071,-0.0272649585417055,-0.0272649585417055,0.0323828811628973,0.0360961967621323,0.0464618552710814,0.11742645777626
"miR200",0.0247971432786641,0.0743010246641573,-0.0362501178596544,0.0496543542516358,0.0525441488401061,0.0475565285999359,0.0475565285999359,-0.121053475491096,-0.0563099224540481,-0.037198919980525,-0.127774074455078
"OVOL2",0.0866216348833266,0.0537782212764017,-0.0344825812982656,-0.0440335697304482,0.0517816619027946,0.0508937518270832,0.0508937518270832,0.0356535648828443,-0.0518943131028674,-0.029778731626142,-0.0907969226970037
"miR145",0.0244127930073411,0.0967507012735385,-0.034062127333157,0.051242097971682,0.0566584377750211,0.0499013261616326,0.0499013261616326,-0.0944018196649697,-0.0581951233324021,-0.135228903048116,-0.0285596432367946
"SNAIL",0.101504238779185,-0.0454024130519748,-0.0334878248223437,0.0567084981707941,0.053235763924186,0.0522276040537419,0.0522276040537419,0.0426496614155441,-0.109626655086057,-0.0282672804240006,-0.106152325263699
"GRHL2",0.116590783759785,0.0831469518183664,-0.0272649585417055,0.0477585006973385,0.0464618552710814,0.0418253822851565,0.0418253822851565,-0.0189722851364073,-0.0499500543288979,-0.026911739492054,-0.120328528857824
"Ecad",0.147284909801845,0.120482624540365,-0.0260112092260465,0.049320707646235,0.0471593215045906,0.0432281234252708,0.0432281234252708,-0.106051385002499,-0.142023978972619,-0.0241933351100328,-0.151607918279978
"KEAP1",-0.100200680188081,-0.0519535038536364,0.0287402056463861,-0.0633077242395973,-0.0595232727538185,-0.0581862697863278,-0.0581862697863278,0.0521595437994831,0.114876005220833,0.0207195917722234,0.107225668401188
"OCT4",0.0378534147763042,-0.0950297831719181,0.0496448641317371,-0.0311535030124963,-0.137228573470411,-0.0322643501616787,-0.0322643501616787,0.180843922006955,0.0411446237142236,0.160265097700538,-0.042078356501246
"NRF2",-0.107225668401188,-0.0679562047314217,0.0522276040537419,-0.0302544006457332,-0.0282672804240006,-0.0287402056463861,-0.0287402056463861,-0.0212719892065179,0.0876032779481055,0.0595232727538185,0.101504238779185
"miR34",-0.107225668401188,-0.0679562047314217,0.0522276040537419,-0.0302544006457332,-0.0282672804240006,-0.0287402056463861,-0.0287402056463861,-0.0212719892065179,0.0876032779481055,0.0595232727538185,0.101504238779185
