"","OVOL2","miR145","GRHL2","Ecad","miR34","miR200","SNAIL","KEAP1","NRF2","ZEB","OCT4"
"miR145",0.693865759255299,0.67734270627358,0.666427407746064,0.666427407746064,0.616900028459369,0.253771697877853,-0.190576248602249,-0.24069702119867,-0.298443222515013,-0.701407803607938,-0.730289435875738
"GRHL2",0.675818146671121,0.659416015290388,0.648070839563496,0.648070839563496,0.598257488538047,0.236055510976106,-0.183478182115301,-0.223821033851923,-0.326627403554885,-0.681596085691656,-0.615221506524261
"Ecad",0.654485933690579,0.637151552755112,0.625965777631503,0.625965777631503,0.46834159897158,0.26023187666715,-0.0558223030891265,-0.248706652122535,-0.40241900203804,-0.657117040520539,-0.595328423503412
"miR200",0.637878319849259,0.619920345536615,0.60812017993115,0.60812017993115,0.557189242000422,0.212725820135591,-0.158072211085941,-0.301727447397006,-0.211533732691729,-0.637650562203215,-0.580028956863224
"OVOL2",0.519327581018544,0.38434596781135,0.375283639276874,0.375283639276874,0.350757679032565,-0.0518762519714355,-0.127694378696903,0.0584071024144298,-0.249095862786683,-0.393049533513356,-0.360653819229086
"SNAIL",0.394170502680016,0.373071888667717,0.364049695924078,0.364049695924078,0.187667488025583,0.192729649209077,-0.120328849900762,-0.186694891192382,-0.125541445335581,-0.379994094942884,-0.351025170091521
"KEAP1",0.349320679329591,0.33031567824109,0.322720419924883,0.322720419924883,0.152675556517921,0.180855797207972,-0.00688001790520571,-0.172604972125464,-0.199362252314522,-0.342943054433232,-0.299487457382194
"NRF2",-0.372439744340548,-0.351025170091521,-0.342943054433232,-0.342943054433232,-0.168153521176214,-0.186694891192382,0.0198442312745508,0.180855797207972,0.115565198304702,0.364049695924078,0.33031567824109
"miR34",-0.372439744340548,-0.351025170091521,-0.342943054433232,-0.342943054433232,-0.168153521176214,-0.186694891192382,0.0198442312745508,0.180855797207972,0.115565198304702,0.364049695924078,0.33031567824109
"ZEB",-0.712702353862631,-0.693998958120753,-0.681596085691656,-0.681596085691656,-0.625965203671578,-0.245637459326911,0.197465225695985,0.236055510976106,0.349640648587997,0.61302638591767,0.659416015290388
"OCT4",-0.624286531459506,-0.706701480779416,-0.597076716724217,-0.597076716724217,-0.549780381037879,-0.322800582686033,0.171536467048648,0.311029020914471,0.182262213114754,0.639050938163653,0.663898902598466
