"","miR200","GRHL2","Ecad","miR34","OVOL2","ZEB","miR145","OCT4","NRF2","SNAIL","KEAP1"
"SNAIL",0.154555159515887,0.130973074871125,0.130973074871125,0.0112625142020022,0.10330856322058,-0.105180965304486,0.11431625604632,-0.0910830339476919,0.0155167655427725,-0.0590842050335497,-0.149943564387483
"KEAP1",0.154458934294823,0.133377670471548,0.133377670471548,0.0138425449755499,0.106198791523209,-0.10218233519458,0.116394635098219,-0.0877136535031272,-0.0821872436940613,0.0447051475553464,-0.148565487807317
"OVOL2",0.144418639198916,0.126292017302353,0.126292017302353,0.131788158457215,-0.00798731148469256,-0.101669319738479,0.109727187304784,-0.0875691247347592,0.012869211824986,-0.079771903014716,-0.139935642753481
"Ecad",0.18694612352673,0.093534870653334,0.093534870653334,0.0919102104702814,0.0845489548789048,-0.0477776102238572,0.0608322391363938,-0.0198526472996591,-0.110345434591395,0.0676350856547853,-0.178677845175349
"GRHL2",0.152315825719727,0.0847388349244665,0.0847388349244665,0.0852009771185317,0.0807520305816375,-0.035818344395363,0.0509065478546392,-0.00727439436472851,-0.0187051095638882,-0.0260030190244412,-0.143533145981165
"miR200",0.136017967413573,0.0801175290126208,0.0801175290126208,0.0806795279268453,0.0782552319332847,-0.0320396727555441,0.0473088552496767,-0.00450047666162395,0.0771775838664067,-0.0241057512751143,-0.227527491678912
"ZEB",-0.144785782252583,-0.035818344395363,-0.035818344395363,-0.0339583955161578,-0.0293818420817167,-0.0198133403940161,-0.0112939267987192,0.0509065478546392,0.0567609279177198,0.0811855867511786,0.152315825719727
"miR145",0.131975765253286,0.0530195652252395,0.0530195652252395,0.0551017437103294,0.0596680489405995,-0.0126633840168688,-0.0676564674765201,0.00338134947247422,-0.016061623105697,-0.0208426153368337,-0.124791785278318
"OCT4",-0.0652905707135073,0.00426223132330286,0.00426223132330286,0.000187857960045992,0.00241129239943687,-0.00329353386113009,0.0756314666479184,-0.074652712768711,-0.0811661781751946,0.020557912419843,0.0654945334174701
"NRF2",-0.149943564387483,-0.10218233519458,-0.10218233519458,0.0189230500851271,-0.0732185139483368,0.130973074871125,-0.0910830339476919,0.116394635098219,0.00657349573988779,-0.00878347301111954,0.154458934294823
"miR34",-0.149943564387483,-0.10218233519458,-0.10218233519458,0.0189230500851271,-0.0732185139483368,0.130973074871125,-0.0910830339476919,0.116394635098219,0.00657349573988779,-0.00878347301111954,0.154458934294823
