"","ZEB","OCT4","OVOL2","GRHL2","Ecad","KEAP1","miR34","miR200","miR145","SNAIL","NRF2"
"NRF2",-0.0979534856579317,0.107493825067283,0.0715949957054895,0.0907373293489259,0.0907373293489259,0.111415920937998,0.124974853405767,0.101164413363355,-0.0968035086722689,-0.0652041219038623,-0.102308539574691
"miR34",-0.0979534856579317,0.107493825067283,0.0715949957054895,0.0907373293489259,0.0907373293489259,0.111415920937998,0.124974853405767,0.101164413363355,-0.0968035086722689,-0.0652041219038623,-0.102308539574691
"ZEB",-0.0703778524389076,-0.0368966394988682,-0.0301094499408395,-0.0227580590059857,-0.0227580590059857,-0.0226273379223386,-0.0218384358957441,-0.012591541450848,0.026753975747957,0.0374624580248177,0.118430034457283
"OVOL2",-0.0357709670832575,0.0312693468503441,-0.0468395542875941,0.0476604501492112,0.0476604501492112,-0.0692101957834282,0.0514767729234847,-0.0521535880058273,-0.0485838344828529,-0.0568744613723951,0.0102887719062899
"miR145",-0.0288757634845986,-0.191469083869939,0.0444593540607882,0.0398304613919159,0.0398304613919159,0.01248147133765,0.0378730403876843,0.0279591517715256,0.0758925498173432,-0.0142011159028103,-0.175066295145574
"GRHL2",-0.0227580590059857,0.0235985912024738,0.0410075966222905,0.0320216896122382,0.0320216896122382,0.00928991962168503,0.0326692964298687,0.0226273379223386,-0.0368966394988682,-0.0245649315230509,-0.117010923766649
"miR200",-0.0189968579249062,0.0196054965451545,0.0395074985501128,0.0284808715120093,0.0284808715120093,0.0976468866554532,0.014691974819995,0.0112297334057164,-0.0332439759865819,0.0415555163225953,-0.209574794532688
"Ecad",-0.00912676947505451,0.0121286159915268,0.0289230692316502,0.0149824122713841,0.0149824122713841,0.0096661416400708,0.0196226429674843,0.0183037644051174,-0.0205912010255404,0.0706293602718745,-0.193296725467912
"OCT4",0.0350114586981176,0.133056948902795,-0.0263274366739949,-0.021537757633351,-0.021537757633351,-0.125804740382,-0.0117988835193248,-0.105991220568481,-0.153419803999477,-0.00787392351576646,0.249683034442789
"KEAP1",0.0907373293489259,-0.0935367698525593,-0.083063220687228,-0.100570353467664,-0.100570353467664,-0.0983560435216849,-0.135939298796442,-0.111415920937998,0.107493825067283,0.0527125621469413,0.00028999074763191
"SNAIL",0.0925109263774739,-0.0968035086722689,-0.0801298544017573,-0.0979534856579317,-0.0979534856579317,-0.101164413363355,-0.133222888801659,-0.108896019439165,0.104671510155398,-0.0445093209954213,0.100713697362272
