"","miR145","GRHL2","Ecad","OCT4","miR34","OVOL2","miR200","SNAIL","KEAP1","NRF2","ZEB"
"GRHL2",0.592443977488344,0.578714279511746,0.578714279511746,0.556916355920365,0.540504250296095,0.303913049560971,0.249007754918342,-0.166838705343297,-0.231871317009846,-0.280267595000419,-0.596521867743654
"miR200",0.56540633058468,0.551752631978804,0.551752631978804,0.531442017163423,0.511341453300873,0.291891155954686,0.241298823792612,-0.144694562478845,-0.323925415158554,-0.165104935403298,-0.566822454591626
"Ecad",0.554836989118915,0.541601670574153,0.541601670574153,0.520823383676738,0.398917951076237,0.289084419697399,0.204788065888716,-0.0315016446881616,-0.186715372192753,-0.365324303273852,-0.555384661776499
"miR145",0.52275564720511,0.505494372264957,0.505494372264957,0.593881742956965,0.4756783612519,0.265532721881768,0.10887200101281,-0.141215869255357,-0.095113135764583,-0.284016401659672,-0.520360450020165
"OVOL2",0.185813137723975,0.180021440864191,0.180021440864191,0.170187868397076,0.173149423553865,0.0159065975180687,0.000497586082294568,-0.0775264546901281,0.0114234707376959,-0.103813525002722,-0.179118291725747
"SNAIL",0.185601911093096,0.179970762096412,0.179970762096412,0.168716482839481,0.0471321736935018,0.125488872426878,-0.00326887638183348,-0.0649148196190707,0.0168482222742752,-0.103624960384466,-0.177732413772618
"KEAP1",0.173989733079174,0.168911697231235,0.168911697231235,0.1469958680485,0.038868258178603,0.121792752967161,-0.00480233317293678,0.0449062941771735,0.0271974298254592,-0.190989402683967,-0.164167461874755
"OCT4",0.145552230738095,0.00552355294691354,0.00552355294691354,0.144048291850532,0.000220094575580616,0.00308829296029856,-0.138796370314406,0.0265648346603467,0.140107559125595,-0.125125756747806,-0.00519531661675583
"NRF2",-0.168716482839481,-0.164167461874755,-0.164167461874755,-0.173989733079174,-0.0289257416787095,-0.11134717225131,0.0168482222742752,-0.0168171652102593,-0.00480233317293678,0.114720990245342,0.179970762096412
"miR34",-0.168716482839481,-0.164167461874755,-0.164167461874755,-0.173989733079174,-0.0289257416787095,-0.11134717225131,0.0168482222742752,-0.0168171652102593,-0.00480233317293678,0.114720990245342,0.179970762096412
"ZEB",-0.61113605288145,-0.596521867743654,-0.596521867743654,-0.592443977488344,-0.553820274034967,-0.309623488338097,-0.251321741111132,0.183196184730812,0.249007754918342,0.301081218463049,0.518683779793626
