"","ZEB","miR200","OVOL2","miR145","miR34","Ecad","OCT4","GRHL2","NRF2","KEAP1","SNAIL"
"ZEB",-0.0891812924502339,-0.0181732013886708,-0.0171252266541874,-0.0104603276695871,-0.00226128298562985,-0.000790411203376111,-0.000682133355310351,0.000790411203376111,0.0295744414772775,0.0335209385402944,0.0438981460874298
"OVOL2",-0.0272403924209714,-0.0497382267933497,-0.0492782991326028,-0.0339882047811663,0.0427363733012853,0.0420056924803891,-0.0198453107020488,-0.0420056924803891,-0.0301691788455943,0.0721213770931003,-0.0305362923896685
"SNAIL",-0.0263875488139332,-0.0476911715665926,0.0502328672690582,-0.0346308029671449,-0.051923508662461,0.0428787589529356,-0.0187983965896884,-0.0428787589529356,-0.029058843457655,0.0727014347604985,-0.0305766691605639
"KEAP1",-0.0228393533212141,-0.0421234085801779,0.0551037960663373,-0.0380217906452973,-0.0465686256819262,0.0472496369151712,-0.0145555329765856,-0.0472496369151712,-0.122740138998757,0.079228547665515,0.0769680900922615
"Ecad",-0.00212604686863953,0.0366589561237576,0.0326643661258808,-0.0020612360191436,0.0238239607471182,0.0166185262934811,0.011870736769972,-0.0166185262934811,-0.115052208070062,-0.014808876378941,0.0766329735145803
"OCT4",-0.00137834512424052,-0.044279378124646,-0.00651256624723868,-0.125562398838665,0.00986625434106369,0.0138273083777831,-0.113697992059004,-0.0138273083777831,-0.0396213967544295,0.0632479095931774,0.037557170978416
"GRHL2",-0.000790411203376111,0.0335209385402944,0.0307875108296983,0.000682133355310351,0.017237173193345,0.0131284847827416,0.0125577536001003,-0.0131284847827416,-0.0117882541546664,-0.0149751869063075,-0.0226820094560988
"miR200",0.00127525287237236,0.0367021873113167,0.030847700904735,0.00199716767512928,0.0229650124728091,0.0121662740592069,0.0149839791568981,-0.0121662740592069,0.0909719488698491,-0.116476285138444,-0.0245592390446081
"miR145",0.0170447522064415,-0.0812931522654867,0.0126569734009936,0.0227553633277164,-0.00880521150465392,-0.00963297082801078,0.130132301965613,0.00963297082801078,-0.0649609228756943,0.0922652006593123,-0.0086317625088091
"NRF2",0.0428787589529356,0.0727014347604985,-0.0280037230203183,0.0187983965896884,0.0763110144407084,-0.0228393533212141,0.0380217906452973,0.0228393533212141,0.058037465785446,-0.0421234085801779,-0.0346993527526262
"miR34",0.0428787589529356,0.0727014347604985,-0.0280037230203183,0.0187983965896884,0.0763110144407084,-0.0228393533212141,0.0380217906452973,0.0228393533212141,0.058037465785446,-0.0421234085801779,-0.0346993527526262
