"","miR200","SNAIL","GRHL2","Ecad","OCT4","OVOL2","miR34","miR145","ZEB","NRF2","KEAP1"
"OVOL2",0.134220045047302,0.0868068181206621,0.124627110652626,0.124627110652626,0.0970238082914509,-0.012019209869751,0.110816937785541,0.10847774261878,-0.113088192054884,0.00191634210213581,-0.132888409416764
"GRHL2",0.131473062049994,0.0899019078494175,0.0842949896937946,0.0842949896937946,0.0285233920209467,0.073992928518766,0.0578901259114542,0.0518776758449626,-0.0604882074956255,-0.0412686295892403,-0.128674859435615
"miR200",0.132454625181071,0.015606522005608,0.0829849441872583,0.0829849441872583,0.0267411698193849,0.0739916908306899,0.0570922781043396,0.0507753048077479,-0.0584149328646724,0.0610764922329085,-0.22955427101241
"miR34",-0.0257059002373533,0.0378025548459977,0.0331333375948766,0.0331333375948766,0.0506235501149934,0.0327237983365092,-0.0442670588628757,0.0273733104218007,-0.0573103345573592,-0.0508816669993912,0.0231614084003185
"Ecad",0.104982165413573,0.104515499855933,0.0802980603197769,0.0802980603197769,0.0261162669036732,0.0727019411704368,0.062079384593089,0.0503611648628569,-0.0555038119043006,-0.139387477023283,-0.102052592677906
"SNAIL",-0.0236030858415134,-0.0713209175518109,0.0573103345573592,0.0573103345573592,0.0273733104218007,0.0594837235786229,-0.0270247686958018,0.0464686014859461,-0.0375127057756748,-0.0308273744985428,0.0257059002373533
"KEAP1",-0.0231614084003185,0.0265263900924528,0.0624733853022713,0.0624733853022713,0.0222493169861591,0.0652292767879336,-0.0233388067870827,0.0506235501149934,-0.0331333375948766,-0.126277193458747,0.026697476292822
"ZEB",-0.129568178388526,-0.099192249427745,-0.0604882074956255,-0.0604882074956255,-0.0518776758449626,-0.0474366161474686,-0.0408370843684275,-0.0330085724397767,-0.0196278253210178,0.0613253940168656,0.131473062049994
"miR145",0.0124867053087725,0.0777679231104989,0.028907068529484,0.028907068529484,0.00459248650230074,0.0380490439887233,0.0170141919391753,-0.0814493206453729,-0.0144472452029216,-0.0844360818881436,-0.0108763590426065
"OCT4",-0.15258406692814,-0.0410202395134299,-0.0275913807987065,-0.0275913807987065,-0.0680582346220635,-0.027437203977302,-0.0179519509516831,-0.0455468954002922,0.0512964484474136,-0.0140694932935916,0.154740244084317
"NRF2",0.0257059002373533,-0.0378025548459977,-0.0331333375948766,-0.0331333375948766,-0.0506235501149934,-0.0327237983365092,0.0442670588628757,-0.0273733104218007,0.0573103345573592,0.0508816669993912,-0.0231614084003185
