"","OVOL2","ZEB","miR34","miR145","GRHL2","Ecad","miR200","KEAP1","OCT4","NRF2","SNAIL"
"SNAIL",0.146759188207972,-0.105299146808997,-0.163078003094926,0.11933048185935,0.112688762508097,0.112688762508097,-0.171611211508491,0.180054399028447,-0.108852172626869,-0.127781895098908,0.363470251695071
"KEAP1",0.146473732871308,-0.102911240137192,-0.160364135043938,0.120645077708365,0.114122477879042,0.114122477879042,-0.168714496101546,0.181302897798859,-0.103620537831064,-0.222631105119696,0.461872815650986
"OVOL2",0.262153736680457,-0.0928161074821396,0.102945987798673,0.107733105922391,0.100605768801213,0.100605768801213,-0.14571737000338,0.154699278857961,-0.0971582545908388,-0.110417412164268,-0.0699362404772761
"ZEB",-0.148488148979329,-0.0611894214860091,-0.0403090565419915,-0.0306037869034498,-0.0268994183637889,-0.0268994183637889,-0.022813221774098,0.0364670187569669,0.0464425872783327,0.0514833141766815,0.117646151770018
"miR145",0.176542771397672,-0.0324935946024065,0.0632331423979978,0.055938530190711,0.0491736456204045,0.0491736456204045,0.0440521517956121,-0.0247864029428795,-0.133807714277023,-0.0313332692672918,-0.126328989773271
"GRHL2",0.155806381198559,-0.0268994183637889,0.0545801989752259,0.0464425872783327,0.0418052851379267,0.0418052851379267,0.0364670187569669,-0.0193101560118688,-0.0266939931665232,-0.0319705421804658,-0.107487141169311
"miR200",0.148791699895747,-0.0221647788486159,0.066345409378932,0.0417386192439042,0.0371267673103618,0.0371267673103618,0.0471006434411741,-0.129842100318747,-0.0221420327427405,0.0745692049294676,-0.161341835532069
"Ecad",-0.130171981589479,0.0104608847135972,-0.158234902541172,-0.0262289927581099,-0.0207058946464324,-0.0207058946464324,-0.111212762092542,0.0993517698991399,0.0130045029621915,-0.0996288665298428,0.286998616102894
"OCT4",-0.153867793173567,0.0440172399251718,-0.0456894519000992,-0.129032861987139,-0.0243470774081596,-0.0243470774081596,-0.127409437315879,0.149845334751777,0.155315984450734,-0.0450506987911906,0.158091655487608
"NRF2",-0.141543126589351,0.112688762508097,0.17205244673225,-0.108852172626869,-0.102911240137192,-0.102911240137192,0.180054399028447,-0.168714496101546,0.120645077708365,0.139488715594327,-0.456200972301898
"miR34",-0.141543126589351,0.112688762508097,0.17205244673225,-0.108852172626869,-0.102911240137192,-0.102911240137192,0.180054399028447,-0.168714496101546,0.120645077708365,0.139488715594327,-0.456200972301898
