"","miR200","SNAIL","miR145","GRHL2","Ecad","OVOL2","miR34","ZEB","NRF2","OCT4","KEAP1"
"OVOL2",0.134422870600811,0.0873307720418377,0.135313434355296,0.12811984940092,0.12811984940092,-0.0096801079928906,0.113425152760989,-0.114679564195929,0.00112720507556964,-0.117636971371585,-0.132963907260581
"GRHL2",0.131861028432547,0.0908674613002857,0.0931309266413245,0.0906711819449353,0.0906711819449353,0.0783955665853587,0.0626396526740565,-0.0631221002476586,-0.0427453187186012,-0.0573717470184334,-0.128817727778952
"miR200",0.13281853396631,0.0164465436397487,0.0913772511922135,0.089050500245896,0.089050500245896,0.0781997212976422,0.0615629960678865,-0.0607925609565231,0.0597495649025779,-0.0548993613551305,-0.229688448774389
"miR34",-0.0256998533653579,0.0387020366011583,0.0323301365065098,0.0326485747911229,0.0326485747911229,0.031817434431706,-0.0446407184209009,-0.0598959272252416,-0.0524580425039372,-0.0660309994020036,0.0230671132565184
"Ecad",0.105318034865086,0.105255773674689,0.0884676166230043,0.0860113893626062,0.0860113893626062,0.0766909336596379,0.0663011221377002,-0.0576224006198194,-0.140556850915461,-0.051868977167222,-0.102170213157707
"miR145",0.0157385595494874,0.090410585504371,0.0665548912997904,0.0602485513023968,0.0602485513023968,0.0585377124728724,0.0412102059045326,-0.0379848638348736,-0.103916381263461,-0.137761904111658,-0.0133105245056827
"SNAIL",-0.0234601963841054,-0.0714749545492842,0.0608581305739922,0.0598959272252416,0.0598959272252416,0.0615676751294463,-0.0251399589941031,-0.0371393859333365,-0.0305035124733977,-0.0323301365065098,0.0256998533653579
"KEAP1",-0.0230671132565184,0.0263455207335013,0.0660309994020036,0.0649040743935613,0.0649040743935613,0.067135184614321,-0.0215408674521975,-0.0326485747911229,-0.125998686257347,-0.0255402018559913,0.026697476292822
"ZEB",-0.129809123548885,-0.101674292866835,-0.0643899082095844,-0.0631221002476586,-0.0631221002476586,-0.0479742138212211,-0.0428232580153028,-0.0131356634511544,0.0656166526826504,0.0931309266413245,0.131861028432547
"OCT4",0.139505385885482,-0.0231481757225107,-0.143674439388198,-0.00349204224521217,-0.00349204224521217,-0.00216126318287026,0.00128904652986923,0.00197895282082662,0.123606193906276,0.141693059583948,-0.139738486118583
"NRF2",0.0256998533653579,-0.0387020366011583,-0.0323301365065098,-0.0326485747911229,-0.0326485747911229,-0.031817434431706,0.0446407184209009,0.0598959272252416,0.0524580425039372,0.0660309994020036,-0.0230671132565184
