"","KEAP1","miR200","miR145","GRHL2","Ecad","miR34","OVOL2","ZEB","SNAIL","OCT4","NRF2"
"SNAIL",0.157045156018963,0.163618161538281,0.144632735216968,0.138088392532945,0.138088392532945,0.012499527964531,0.107978812928477,-0.108749676261481,-0.0386319241220586,-0.110973113414966,-0.128268158645885
"OVOL2",0.147710157253963,0.154241007696957,0.14090345788476,0.133890008353755,0.133890008353755,0.13277538998614,-0.00307038249044084,-0.105642830694813,-0.0469448031018243,-0.108472190109184,-0.123580940540554
"KEAP1",0.154292525577636,0.162354760372544,0.145536871804227,0.139303686724084,0.139303686724084,0.0144046867199577,0.110153771899301,-0.105192899552073,0.0650760493005301,-0.104739325791957,-0.222925527018319
"miR200",0.259712174716149,0.171131720997378,0.105277154210425,0.10351785946389,0.10351785946389,0.078001627138081,0.0901667239166964,-0.055957607131976,0.0539108602570643,-0.0506766887333109,-0.280619914855489
"Ecad",0.186042456596076,0.197685199817767,0.104127571037452,0.102302901277436,0.102302901277436,0.0953702849243035,0.0902910421322479,-0.0522792516700195,0.0860392147106578,-0.0469030812415332,-0.278963050180087
"miR145",0.174151724014999,0.187443338533146,0.0988246782392167,0.097161169617074,0.097161169617074,0.0903272447430259,0.0885930640229454,-0.0425010534094118,0.00301268672572211,-0.136154415258772,-0.225420217156744
"GRHL2",0.15119895265621,0.163617253309805,0.0954864234190367,0.0940777581245374,0.0940777581245374,0.0893432575262675,0.0868432824607505,-0.0405974195903673,-0.00784430635076713,-0.034718973865613,-0.16887854300068
"ZEB",-0.163617253309805,-0.153760439195767,-0.041013862760909,-0.0405974195903673,-0.0405974195903673,-0.0345398450633595,-0.0308635580824835,-0.00950313031976062,0.0631446597076576,0.0954864234190367,0.203339280938239
"OCT4",-0.277690694810213,-0.267521697141215,-0.143436179016771,-0.0429954390016494,-0.0429954390016494,-0.027045590400488,-0.030053149376217,0.100580900533953,0.0160579352688064,0.204477000215148,0.33866711541646
"NRF2",-0.162354760372544,-0.157045156018963,-0.110973113414966,-0.105192899552073,-0.105192899552073,0.0213841146426142,-0.0741055615267664,0.138088392532945,-0.0271287164173431,0.145536871804227,0.147202668316737
"miR34",-0.162354760372544,-0.157045156018963,-0.110973113414966,-0.105192899552073,-0.105192899552073,0.0213841146426142,-0.0741055615267664,0.138088392532945,-0.0271287164173431,0.145536871804227,0.147202668316737
