"","miR200","miR34","ZEB","miR145","GRHL2","Ecad","NRF2","OVOL2","OCT4","SNAIL","KEAP1"
"miR145",0.172202717107535,0.0639519613601988,-0.0541458926730114,0.066699705871992,0.0592807596955443,0.0592807596955443,-0.0205716779764225,-0.0524210514943825,-0.156895255433691,-0.0916704082834784,-0.168673305342829
"miR200",0.141335801889107,0.0447334896345884,-0.0532804707128627,0.0613077252397553,0.0558954488764471,0.0558954488764471,0.0731283658675738,-0.0510665460454083,-0.0560478338510819,-0.0122574222934893,-0.239507525828994
"ZEB",-0.14790578024818,-0.052562287184164,-0.0507655856780129,-0.0505649460575658,-0.0460292747088818,-0.0460292747088818,0.0241369979295261,0.0430338635638177,0.0555529706332193,0.0926166871414604,0.149395169151274
"NRF2",-0.0357693849036866,-0.0564314668166723,-0.0495160381220385,0.03778511947112,0.0381951285087063,0.0381951285087063,-0.0493598476133565,-0.0382465726503516,-0.0560976793944182,0.0301711241156618,0.0295772978320585
"GRHL2",0.149395169151274,0.0569762337717011,-0.0460292747088818,0.0555529706332193,0.0504336733501392,0.0504336733501392,-0.018602466236054,-0.0487522225056837,-0.0475145981555481,-0.0893628591084804,-0.146535692027091
"OVOL2",-0.0298280378786081,0.0529857551479391,-0.0427309152986197,0.0492733414041837,0.048411248037776,0.048411248037776,-0.0365872440957855,-0.0816162954647245,-0.0395430992254368,-0.0801270613249877,0.0328785975899987
"SNAIL",-0.0314588434631904,-0.0451457242293383,-0.0417993578276804,0.0505622792783132,0.0495160381220385,0.0495160381220385,-0.0354813270840046,-0.0523316380635022,-0.03778511947112,-0.0621803297402168,0.0357693849036866
"Ecad",0.164101557530582,0.135528974499321,-0.0378607419501753,0.0449271754339403,0.0385607703297042,0.0385607703297042,-0.106178474002962,-0.0390732592121925,-0.0429952026448247,-0.122050193993997,-0.163438416424227
"KEAP1",0.0295772978320585,0.0401444751198446,0.0381951285087063,-0.0560976793944182,-0.054548163229088,-0.054548163229088,-0.0707710852835339,0.0584803199111259,0.0297173112962587,-0.0413122449799427,-0.0390539597839679
"miR34",0.0357693849036866,0.0564314668166723,0.0495160381220385,-0.03778511947112,-0.0381951285087063,-0.0381951285087063,0.0493598476133565,0.0382465726503516,0.0560976793944182,-0.0301711241156618,-0.0295772978320585
"OCT4",-0.255493261059404,-0.0492237937248513,0.0585622575411629,-0.157613696496919,-0.0519575021172577,-0.0519575021172577,-0.0683407956615334,0.0439440311489671,0.167234130968153,0.0418792630565121,0.257707713273856
