"","miR145","GRHL2","Ecad","miR34","OVOL2","miR200","KEAP1","NRF2","SNAIL","ZEB","OCT4"
"miR145",0.60885049946181,0.595334502881493,0.595334502881493,0.573977129712533,0.313859937789448,0.280766323490432,-0.264120516231358,-0.249367034885916,-0.290507305878206,-0.615916485969971,-0.673719009239288
"miR200",0.584201500746394,0.570401727507194,0.570401727507194,0.525491064169943,0.300424484548295,0.26449889825246,-0.350399156699861,-0.172107011006707,-0.182542774455872,-0.589590814691105,-0.553526558931033
"GRHL2",0.583262163337683,0.569148824783022,0.569148824783022,0.551064628157327,0.298029193295423,0.261763309065851,-0.247077851549511,-0.273314552284018,-0.284090174279339,-0.587923653500853,-0.551737188147474
"Ecad",0.473455072061223,0.457968410847376,0.457968410847376,0.433563922135562,0.24127140645683,0.182410275683042,-0.172513524235044,-0.32636413403759,-0.249707690040822,-0.471174351628759,-0.452312214918366
"SNAIL",0.341917329440059,0.331639250546248,0.331639250546248,0.166218172954457,0.209414470538366,0.210899163163536,-0.203048960180368,-0.101341543859511,-0.144264765488843,-0.340495546539707,-0.324913250834201
"NRF2",0.324913250834201,0.315704598218853,0.315704598218853,0.150864544215105,0.199486396686635,0.203048960180368,-0.199474905172278,-0.0977785984913404,-0.0404299572292559,-0.331639250546248,-0.311969818427681
"OVOL2",0.178563955337911,0.172612909481299,0.172612909481299,0.174201962730307,0.0111220795972296,0.000985608233611531,0.00664874902672058,-0.101755469604459,-0.138025709665327,-0.174021109124792,-0.167023836403153
"KEAP1",-0.311969818427681,-0.303274171502712,-0.303274171502712,-0.140538804381169,-0.196053233794013,-0.199474905172278,0.187263684050166,-0.0165694647928931,0.0274657438599109,0.315704598218853,0.284975953397006
"miR34",-0.324913250834201,-0.315704598218853,-0.315704598218853,-0.150864544215105,-0.199486396686635,-0.203048960180368,0.199474905172278,0.0977785984913404,0.0404299572292559,0.331639250546248,0.311969818427681
"ZEB",-0.602953926328415,-0.587923653500853,-0.587923653500853,-0.568516408572757,-0.305458307821005,-0.267816748084005,0.261763309065851,0.289681628915995,0.295662612441883,0.506996102825478,0.583262163337683
"OCT4",-0.664394736997462,-0.552671720720372,-0.552671720720372,-0.52275389368594,-0.289416745977125,-0.357831247401196,0.349731014300963,0.148922195727769,0.208494623102286,0.583758102915553,0.634196599017037
