"","SNAIL","miR145","GRHL2","Ecad","OVOL2","miR200","ZEB","miR34","KEAP1","NRF2","OCT4"
"NRF2",0.503450943473002,0.119466336943794,0.113670607949593,0.113670607949593,0.0797073489024389,-0.172533973540032,-0.14239567157327,-0.29982219616234,0.147133179305586,-0.155898671328093,-0.149140354201704
"SNAIL",0.389923762689184,0.148958365123253,0.14239567157327,0.14239567157327,0.109242377502994,-0.149129330014967,-0.11728324311865,-0.326639867693741,0.172533973540032,-0.127123645878484,-0.119466336943794
"miR200",0.176829323575636,0.105170605874591,0.10339864845741,0.10339864845741,0.0900354240628092,0.0428707548812423,-0.0563667834657676,-0.123943957291002,-0.0994037308552061,0.0476374087726423,-0.0508804584735045
"miR145",0.138304360785389,0.0983193050837946,0.0966245923046548,0.0966245923046548,0.0881787148077464,0.0631652631997278,-0.0427202982898218,-0.10856653275247,-0.0134114042093231,-0.0355751947645191,-0.136242433876782
"GRHL2",0.120446627078156,0.0948911074515797,0.093449896459777,0.093449896459777,0.086359434187565,0.0611677349247677,-0.0408216507346345,-0.103652672890763,-0.0127404473430684,-0.0353813764691627,-0.034818332062893
"OVOL2",0.0483097143473144,0.0816155924611099,0.0808850804935331,0.0808850804935331,-0.0189977636712779,-0.0279213974821031,-0.0257989248191421,-0.0803889041481838,0.0782105374895306,-0.021631495071334,-0.0200194535315228
"Ecad",-0.161731851139572,0.0631672746564114,0.0598475590500881,0.0598475590500881,0.0629259594370765,0.128450573100903,-0.0218379100102621,-0.0386418124703549,-0.0936062853480279,-0.102658772067722,-0.0202557100305611
"ZEB",-0.150128605876743,-0.0412307929665229,-0.0408216507346345,-0.0408216507346345,-0.0311638061185012,-0.0168696014550669,-0.0102897372100541,0.0555072722972909,0.0611677349247677,0.0920511967151419,0.0948911074515797
"OCT4",-0.187797047566096,-0.143576551528799,-0.0431482292903295,-0.0431482292903295,-0.0301912534805329,-0.107317459786287,0.100237333445321,0.0634422174845362,0.158541236010063,0.001796724623282,0.204330908177164
"KEAP1",-0.484477277031409,-0.149140354201704,-0.142957647440715,-0.142957647440715,-0.111044091049992,0.147133179305586,0.113670607949593,0.325945253432938,-0.174997394298513,0.0221288950051255,0.112483912483913
"miR34",-0.503450943473002,-0.119466336943794,-0.113670607949593,-0.113670607949593,-0.0797073489024389,0.172533973540032,0.14239567157327,0.29982219616234,-0.147133179305586,0.155898671328093,0.149140354201704
