"","NRF2","SNAIL","ZEB","miR145","OVOL2","GRHL2","miR200","Ecad","KEAP1","miR34","OCT4"
"ZEB",-0.128247853834654,-0.10628061170465,-0.0612756620120732,-0.0327079715413636,-0.0326370225627286,-0.0289985811941342,-0.0224317208893629,0.0289985811941342,0.0333688213751722,0.0393660310091226,0.0462454077592122
"NRF2",-0.00603770113767392,0.0741502290618613,-0.0515178970112451,0.0291905700372543,0.0310550566648749,0.0297052379520546,-0.067380321440258,-0.0297052379520546,0.0426560972896476,-0.0881562171621123,-0.0591042804878775
"miR200",0.224321536949185,0.0837004190043434,-0.0378318601926383,0.0523595441429241,0.0491173712939865,0.047348224025064,0.024393480171947,-0.047348224025064,-0.11364398270856,-0.0587500904239469,-0.0387520965090994
"miR145",0.182548572116284,0.106323828219298,-0.0358126408288461,0.0565024608151762,0.050698884711052,0.0497055975107867,0.0389709541305849,-0.0497055975107867,-0.0232429608055953,-0.0607618593377935,-0.13682612905523
"OVOL2",-0.0101237645581584,0.0551553939508489,-0.0356223798291988,0.0510546050217635,-0.0448331470028628,0.0501381255214151,-0.0501449866920689,-0.0501381255214151,0.0664906814238849,-0.0525955469884967,-0.030792603815179
"SNAIL",-0.0125528012394724,-0.045403078987022,-0.0345820834380644,0.0525572737821561,0.0559686886521887,0.0515178970112451,-0.048254289419093,-0.0515178970112451,0.067380321440258,-0.11032487594835,-0.0291905700372543
"GRHL2",0.124250692056036,0.0937806117046495,-0.0289985811941342,0.0462454077592122,0.0471626046948369,0.0415784648949805,0.0333688213751722,-0.0415784648949805,-0.0191735599372637,-0.0525615057865706,-0.0285808361416138
"Ecad",0.0218436362574763,-0.0280127138691874,-0.0255207624781852,0.0367906711418233,0.0368808691916289,0.0308561139113514,0.0880395987193665,-0.0308561139113514,-0.0820209636148588,-0.0409995485333594,-0.0289811473322995
"KEAP1",-0.0856153266855667,-0.0505175484406594,0.0297052379520546,-0.0591042804878775,-0.0628665979358756,-0.0577200802526112,0.0426560972896476,0.0577200802526112,-0.0743864131783794,0.116025069621129,0.0212208449050554
"OCT4",-0.262276656731247,-0.10917103251205,0.0494446371435905,-0.138806902101573,-0.0323535043335304,-0.0338734258714746,-0.119399870046599,0.0338734258714746,0.136824112470841,0.0438445455030683,0.160124639031627
"miR34",0.00603770113767392,-0.0741502290618613,0.0515178970112451,-0.0291905700372543,-0.0310550566648749,-0.0297052379520546,0.067380321440258,0.0297052379520546,-0.0426560972896476,0.0881562171621123,0.0591042804878775
