"","KEAP1","ZEB","OVOL2","miR145","Ecad","miR34","GRHL2","OCT4","SNAIL","miR200","NRF2"
"ZEB",-0.103257285933245,-0.0611281966787144,-0.0163355825856931,-0.00970938027256276,-0.00687913545632496,-0.00580908982379529,0.00687913545632496,0.0463229385356056,0.047399376765408,0.10250300314112,0.143520214850785
"OVOL2",0.08621400296605,-0.0220707932841666,-0.0333471475305773,0.0616757858600869,0.0609834492556461,0.0609242227387338,-0.0609834492556461,-0.0173682791807798,-0.0203778701574,-0.0871530448250346,-0.0502829732144603
"SNAIL",0.101588428202182,-0.0211854142366255,0.0669914260058707,0.0628396634174738,0.0620787094124227,-0.0356515803367708,-0.0620787094124227,-0.0163213096911112,-0.0211593418207638,-0.102532642041529,-0.0535739481857995
"KEAP1",0.101489473083633,-0.0167047663863986,0.0722992636571324,0.0680950393171898,0.0671950923869287,-0.0302165923840801,-0.0671950923869287,-0.0108864503601346,0.0845218487507484,-0.102573867237334,-0.149989176965712
"miR145",0.0098821219422563,-0.0112995973268471,0.0567220912326065,0.0545041074764829,0.0488781319765708,0.0488567816189391,-0.0488781319765708,-0.111982192439396,-0.00902717118504347,-0.0108416546915262,-0.100899370234108
"Ecad",0.135558078968734,-0.00723824213512134,0.0558586948790577,0.0486144960490231,0.0455600659928453,0.0478957793100272,-0.0455600659928453,-0.00521313550480543,0.0896621140217373,-0.136489834194118,-0.225227631981188
"miR200",-0.00702504578502172,-0.00567827610478707,0.0543747846662731,0.0463562988497686,0.0426384313859646,0.046759578233634,-0.0426384313859646,-0.00447887448979963,-0.0107930468666752,-0.0938843061820502,-0.013857155078469
"GRHL2",-0.102358593122787,0.00687913545632496,-0.0538613231210962,-0.0463229385356056,-0.0425576431424324,-0.0431050838890772,0.0425576431424324,0.00589951809233728,0.00795591386788154,0.103257285933245,0.118425607471409
"OCT4",0.0636341297148411,0.0463285893905908,-0.0123174446436572,-0.109018389049661,-0.00515494436617319,-0.00486774429118843,0.00515494436617319,0.156499888214139,0.0559021403494777,-0.0645373931181045,0.0337849875807253
"NRF2",-0.102573867237334,0.0620787094124227,-0.0192313308594699,-0.0163213096911112,-0.0167047663863986,0.0831652830376887,0.0167047663863986,0.0680950393171898,-0.0282085469276559,0.101588428202182,0.0855047252472179
"miR34",-0.102573867237334,0.0620787094124227,-0.0192313308594699,-0.0163213096911112,-0.0167047663863986,0.0831652830376887,0.0167047663863986,0.0680950393171898,-0.0282085469276559,0.101588428202182,0.0855047252472179
