"","miR200","ZEB","miR145","miR34","Ecad","NRF2","GRHL2","OCT4","OVOL2","SNAIL","KEAP1"
"ZEB",-0.102336799550185,-0.0903229951864787,-0.0186090553022762,-0.010630936041119,-0.0095292943260767,0.00445577347288585,0.0095292943260767,0.0189839381513859,0.0223929296116515,0.0365988211067485,0.102726725400351
"OVOL2",-0.0463196549740198,-0.0321078534433715,0.0334194962108633,0.0313619485613291,0.0328981089395094,-0.0356215432974673,-0.0328981089395094,-0.0315665271511373,-0.071693145582799,-0.0420013279523946,0.0477149544594036
"SNAIL",-0.0467576979197381,-0.0315208030045545,0.0336013039240813,-0.0627016192544506,0.032813730232682,-0.0355016753079719,-0.032813730232682,-0.0310132431157758,-0.0397836749477304,-0.0428365126594428,0.0490064777400181
"KEAP1",-0.0452853422789209,-0.0305396969020852,0.0350400887533597,-0.0601473622163277,0.034223767933095,-0.133706938651963,-0.034223767933095,-0.0295186163607216,-0.0412384188702806,0.0614467061881998,0.0511787887664268
"GRHL2",0.102726725400351,-0.0095292943260767,0.0189839381513859,0.011456232777024,0.00971928799295447,-0.00360430705850553,-0.00971928799295447,-0.0180577059317365,-0.0228998201549748,-0.0343903405413775,-0.102154829975515
"Ecad",0.0767281859784121,-0.00948675230189574,0.0177954363822682,0.0157337348115299,0.0103002987970239,-0.111640774934474,-0.0103002987970239,-0.0160539397836287,-0.0228333079792254,0.0645230700220108,-0.0752088373676507
"miR200",0.107409997029749,-0.0051189636406825,0.0150252141894078,0.0167186143764285,0.00560960902807668,0.10120360085903,-0.00560960902807668,-0.0137063623662891,-0.021490233703194,-0.0370018485451287,-0.206328346795231
"OCT4",-0.140020088962885,-0.00191395726979766,-0.13765108407585,-0.00260053236869716,0.00214612443015311,-0.123898971684054,-0.00214612443015311,0.13815239703837,-0.001141215074001,0.0271599118288592,0.140486289429085
"miR145",0.00717498687116349,0.00890543024074958,0.0969675366601653,-0.00712789021648235,-0.00899518412614804,0.0739830814641447,0.00899518412614804,-0.197547442256929,0.0183501042255563,0.0211513729227259,-0.00750039362961155
"NRF2",0.0490064777400181,0.032813730232682,-0.0310132431157758,0.0670666724143265,-0.0305396969020852,0.0399808066279584,0.0305396969020852,0.0350400887533597,0.0368556577307627,-0.0484824928188547,-0.0452853422789209
"miR34",0.0490064777400181,0.032813730232682,-0.0310132431157758,0.0670666724143265,-0.0305396969020852,0.0399808066279584,0.0305396969020852,0.0350400887533597,0.0368556577307627,-0.0484824928188547,-0.0452853422789209
