"","ZEB","KEAP1","NRF2","OVOL2","miR34","miR145","GRHL2","Ecad","OCT4","SNAIL","miR200"
"ZEB",-0.0939552000298839,-0.0798380245725411,-0.0205854869366573,-0.0190656592306139,-0.011611255264868,-0.00758841793050546,-0.00173984010109789,-0.00173984010109789,0.0139822531903201,0.0751408669251829,0.0804772472777316
"OVOL2",-0.0297702778928798,0.0804436491746418,-0.0335366803165867,-0.0532852845693412,0.0384085700471983,0.0383802705791347,0.0376847163955536,0.0376847163955536,-0.0267194931939757,-0.0514541583333789,-0.0793242263935924
"SNAIL",-0.0289901176808737,0.0965633410504038,-0.040160799432071,0.0463027157338098,-0.0565677391728146,0.0395079426411614,0.038633412856671,0.038633412856671,-0.0254404602533231,-0.0452103092424632,-0.0951812309377368
"KEAP1",-0.0257198589612601,0.0972591196611059,-0.143599176388414,0.051377879247553,-0.0518840108987892,0.0442803452005906,0.0430270415745651,0.0430270415745651,-0.0194337194337194,0.0587765158688712,-0.0946660032066033
"miR145",-0.00402751551597174,-0.0947061170776504,-0.00845273927784391,-0.0184733439460922,-0.00739460269532748,0.109630219526124,-0.000493245974887535,-0.000493245974887535,-0.216251932270561,0.0633095155650074,0.0940970223759399
"Ecad",-0.00226211275870605,0.0509423081063357,0.119984174892445,0.0199159317105747,0.10656630159168,0.0109598715417285,0.00395542464972866,0.00395542464972866,-0.00834762664376928,-0.111740910496314,-0.0507324533258438
"GRHL2",-0.00173984010109789,0.0806550180365934,0.0159260735024094,0.0259720428833939,0.0175088813776277,0.0139822531903201,0.00756055516817141,0.00756055516817141,-0.0054476848806939,-0.0705030577379037,-0.0798380245725411
"OCT4",-0.00171779201991,0.142586313046869,-0.123429192747144,0.00169350816125317,-0.00212622632814727,-0.137010871561231,0.00278255865188502,0.00278255865188502,0.138514810448793,0.0268204194813397,-0.142440625401182
"miR200",0.000247053614683602,-0.0262585319081753,0.118110407176382,0.0261065627379704,0.0222894223671852,0.0130930835134758,0.0066597237617115,0.0066597237617115,-0.0030232619463695,-0.0606245641066212,-0.0727746833689377
"NRF2",0.038633412856671,-0.0946660032066033,0.0300148883360411,-0.0311076089772827,0.0698742174135859,-0.0254404602533231,-0.0257198589612601,-0.0257198589612601,0.0442803452005906,-0.043854166105198,0.0965633410504038
"miR34",0.038633412856671,-0.0946660032066033,0.0300148883360411,-0.0311076089772827,0.0698742174135859,-0.0254404602533231,-0.0257198589612601,-0.0257198589612601,0.0442803452005906,-0.043854166105198,0.0965633410504038
