"","OVOL2","miR145","GRHL2","Ecad","miR34","miR200","SNAIL","KEAP1","NRF2","ZEB","OCT4"
"miR145",0.490381991663173,0.472915756407127,0.453157585834291,0.453157585834291,0.433427527479911,0.204441869120907,-0.142994576014145,-0.19699088872875,-0.188785826196421,-0.460975621641367,-0.556745830581099
"GRHL2",0.458718081971953,0.438958995198573,0.420172728167843,0.420172728167843,0.403116170164635,0.181945277573783,-0.131798004032169,-0.175879101103195,-0.209506589678345,-0.427041287094667,-0.425263990236615
"miR200",0.441314906996466,0.420767535097864,0.402443317551931,0.402443317551931,0.38661094953679,0.179523553681052,-0.114041815385235,-0.272947503140227,-0.0982572002277625,-0.408142352436278,-0.407563500962876
"OVOL2",0.405405662156769,0.265691935793788,0.253340372080132,0.253340372080132,0.245010614115372,-0.0842514830642772,-0.0995906541350417,0.0876097514074254,-0.188779935675651,-0.256911376239371,-0.258271441094142
"SNAIL",0.167868719206186,0.139838363543004,0.133585290691642,0.133585290691642,0.00850630722394574,-0.023981958239001,-0.0592386818568838,0.0300440847727784,-0.0868735708724329,-0.132844284968011,-0.133320009816641
"KEAP1",0.162167238929046,0.135669003105232,0.129736139603147,0.129736139603147,0.00644484142021088,-0.0233813402515252,0.0474236398452042,0.0357811516612376,-0.18011503569625,-0.12774833149289,-0.12278556752241
"NRF2",-0.163445544261405,-0.133320009816641,-0.12774833149289,-0.12774833149289,-0.000377138631196614,0.0300440847727784,-0.0298679342408828,-0.0233813402515252,0.0926082162745368,0.133585290691642,0.135669003105232
"miR34",-0.163445544261405,-0.133320009816641,-0.12774833149289,-0.12774833149289,-0.000377138631196614,0.0300440847727784,-0.0298679342408828,-0.0233813402515252,0.0926082162745368,0.133585290691642,0.135669003105232
"ZEB",-0.467699548786462,-0.446456652180766,-0.427041287094667,-0.427041287094667,-0.408188499541489,-0.182795443771686,0.138025919226515,0.181945277573783,0.217146135562924,0.333784359828734,0.438958995198573
"Ecad",-0.398114654366406,-0.38298179387305,-0.364613883337471,-0.364613883337471,-0.341233906303886,-0.189689982728355,0.156989186489138,0.186911505434642,0.072367777930496,0.3706114237783,0.374002202036315
"OCT4",-0.453192342659733,-0.534068971130426,-0.416126438924049,-0.416126438924049,-0.39709046530553,-0.285740275617864,0.131636403403358,0.285623725501314,0.0884735005795662,0.429568116932215,0.520819985692374
