"","KEAP1","ZEB","miR145","GRHL2","Ecad","OVOL2","miR34","SNAIL","OCT4","miR200","NRF2"
"SNAIL",0.135963491327456,-0.102552209629835,0.111886567984319,0.1051891679291,0.1051891679291,0.0831764301041028,-0.0159570810510587,-0.0477147382029011,-0.107133138247575,-0.133541377565653,-0.113942448797442
"KEAP1",0.137027629846869,-0.101076205118164,0.113604854450834,0.106827596583842,0.106827596583842,0.0855042201945748,-0.0132298790426869,0.0572643294251779,-0.102868658131816,-0.132360020228765,-0.210738639584637
"ZEB",-0.11127220174552,-0.0549514298111746,-0.0476296798444256,-0.0429112172319462,-0.0429112172319462,-0.0417096252031877,-0.0386686715322219,0.0363586309975432,0.0512327205608683,0.113579795711258,0.145113571446163
"Ecad",0.152097658148729,-0.0519154742984451,0.0604259718863818,0.0554912949398224,0.0554912949398224,0.0510064336581119,0.0525344309515628,0.0691478724731624,-0.0537048834510076,-0.148546915262806,-0.253724077060024
"GRHL2",0.114581025274932,-0.0429112172319462,0.0512327205608683,0.0460144471242831,0.0460144471242831,0.0458518713619078,0.0439542798408272,-0.0266265933061416,-0.0453776097437992,-0.11127220174552,-0.140123032184101
"miR145",0.00339309887106751,-0.026289197637048,0.0394947738938035,0.0289770903102966,0.0289770903102966,0.0337643783168418,0.0281833170600057,-0.0244241067552577,-0.13457231940965,-0.000581250727554784,-0.0936070439738175
"OCT4",0.143769001767178,-0.00374287156177209,-0.135714588600291,0.00416717706173206,0.00416717706173206,0.00227904676053691,-0.000958384412922177,0.0268015595327168,0.136597854296161,-0.14350676400494,-0.126057541811558
"OVOL2",0.0427004166573222,0.0418097161242318,-0.0470332032820448,-0.0461769175502568,-0.0461769175502568,-0.0800087508323346,-0.0500340451224399,0.0587025052611542,0.0390956009378235,-0.0469818108957434,-0.00807213336451734
"miR200",-0.224260454278473,0.0526305531889923,-0.0603908641131875,-0.0549435957295649,-0.0549435957295649,-0.0504383952894426,-0.0353969414156125,-0.0364307313358143,0.0557205770689672,0.121608975385011,0.250367966019418
"NRF2",-0.132360020228765,0.1051891679291,-0.107133138247575,-0.101076205118164,-0.101076205118164,-0.0780170032478984,0.0224485292449437,-0.0409915407688646,0.113604854450834,0.135963491327456,0.119303833256213
"miR34",-0.132360020228765,0.1051891679291,-0.107133138247575,-0.101076205118164,-0.101076205118164,-0.0780170032478984,0.0224485292449437,-0.0409915407688646,0.113604854450834,0.135963491327456,0.119303833256213
