"","ZEB","OCT4","miR34","OVOL2","GRHL2","Ecad","miR145","miR200","KEAP1","NRF2","SNAIL"
"SNAIL",-0.220415977573786,0.195118828176691,-0.0575626113655761,0.160523581806895,0.236033311997335,0.236033311997335,0.208593058803313,0.279828411836324,-0.268493284344648,-0.00610781884460476,0.26082699511886
"KEAP1",-0.219343385061943,0.192744248007406,-0.0581605586531695,0.161506978885708,0.236438534810154,0.236438534810154,0.20930866518532,0.281451072254635,-0.268674080269722,-0.103045664779267,0.364180215130281
"Ecad",-0.0414142507724131,0.0156541706520235,0.0726817014294729,0.0889055960575738,0.0977665353244896,0.0977665353244896,0.0641439665703909,0.12302017594192,-0.0812254978591528,-0.120444701972907,0.150321087631537
"ZEB",-0.0371043336598142,-0.0358058424825161,-0.020972956329537,-0.00895054056014337,-0.00270631217314841,-0.00270631217314841,0.0170213990045192,0.0172961571978963,0.0281845382764069,0.0898119708426316,0.13515133172525
"OVOL2",-0.0141141266898637,0.00733247894814667,0.0801192155379768,-0.0162527640044413,0.0810125224117889,0.0810125224117889,0.0653950489731402,-0.0364882042029253,0.0866712377856087,-0.0183117003788678,-0.0426422269654208
"GRHL2",-0.00270631217314841,-0.0195696123636632,0.0801346773977863,0.075654167995594,0.0675862707199847,0.0675862707199847,0.0358058424825161,0.0281845382764069,0.0198955270830702,-0.0272291893856779,-0.102141908874838
"miR200",0.00442638471692088,-0.0248342668641028,0.0837212171732203,0.0695694657560898,0.0576699111799897,0.0576699111799897,0.0279353219644464,0.00530891782906131,-0.0593531410510389,0.0678689821680855,-0.148861289263861
"miR145",0.0279312609161747,-0.0321075122794525,0.0244502235429511,0.038444315411062,0.0145412224321176,0.0145412224321176,-0.0958971279234174,-0.0850651706311174,0.116562876096282,-0.073070519344655,-0.0703363272628778
"OCT4",0.0317692169458461,-0.0507817753885888,-0.00218316502111439,0.00447750575721821,0.0222616853037736,0.0222616853037736,-0.00186795347405074,-0.0048185935563878,0.0465726728104671,0.010901261798311,0.139519574513628
"NRF2",0.236033311997335,-0.20930866518532,0.0731275588660713,-0.143391566175701,-0.219343385061943,-0.219343385061943,-0.195118828176691,-0.268493284344648,0.281451072254635,0.0216490472124365,-0.353241660099896
"miR34",0.236033311997335,-0.20930866518532,0.0731275588660713,-0.143391566175701,-0.219343385061943,-0.219343385061943,-0.195118828176691,-0.268493284344648,0.281451072254635,0.0216490472124365,-0.353241660099896
