"","ZEB","OVOL2","miR200","miR34","OCT4","GRHL2","Ecad","miR145","KEAP1","NRF2","SNAIL"
"ZEB",-0.0974574227938602,-0.0180488734655877,-0.0133771268213869,-0.0129428419235232,-0.0103632727622428,0.000705273873214478,0.000705273873214478,0.00523987382441084,0.0179603536176027,0.0264108676515784,0.0925364864831369
"SNAIL",-0.0849698972501287,0.072930051933381,-0.183670024825402,-0.184728998438911,0.0899202510679194,0.0873360051814452,0.0873360051814452,-0.0938134657509005,0.186703368802047,-0.119990886011259,0.372271696700696
"KEAP1",-0.083863383885985,0.0744901824341047,-0.181246683995458,-0.181993419825932,0.0871796608638714,0.0884485945936447,0.0884485945936447,-0.0950017467534419,0.186668654763963,-0.216202906668622,0.469091521234694
"OVOL2",-0.0300448188116532,-0.0545254681901746,-0.0609931477408219,0.0363036298656826,0.0272504005771282,0.0362420855971553,0.0362420855971553,-0.0369289319914176,0.0696991798910686,-0.0370600938353936,-0.0480213115031199
"Ecad",-0.0104303615939486,-0.014615180175793,-0.0976516673952082,-0.132432934211556,0.00529892913442104,0.00747889058836734,0.00747889058836734,-0.000863554984761176,0.0933118705346357,-0.108479528811224,0.274125842560405
"miR145",-0.00865425408760076,0.027628427628514,0.0273289075041651,0.0287032701061491,-0.20702178312711,0.0142804055354726,0.0142804055354726,0.098458060942349,-0.0193773013297804,-0.0195331572637417,-0.108901142987914
"GRHL2",0.000705273873214478,0.0236405097716228,0.0179603536176027,0.0176071594309416,0.00328421222635127,0.00388336105107592,0.00388336105107592,-0.0103632727622428,-0.0115061052515896,-0.019102447594814,-0.0887967927257753
"miR200",0.00450461641412002,0.0219277020490943,0.0304382018513982,0.033958128161204,-0.000503020999746191,0.000234694525654602,0.000234694525654602,-0.00674290607550594,-0.123651564539251,0.0876142065519914,-0.145854083096151
"OCT4",0.00849190047083887,-0.0164381209190382,-0.121663594294064,-0.0239765253772303,0.159031713294818,-0.00132674155642049,-0.00132674155642049,-0.170657399616136,0.131686904317374,-0.0715990420599437,0.134861185052737
"NRF2",0.0873360051814452,-0.0687560699432354,0.186703368802047,0.187720479651353,-0.0950017467534419,-0.083863383885985,-0.083863383885985,0.0899202510679194,-0.181246683995458,0.124877211087607,-0.468078692065214
"miR34",0.0873360051814452,-0.0687560699432354,0.186703368802047,0.187720479651353,-0.0950017467534419,-0.083863383885985,-0.083863383885985,0.0899202510679194,-0.181246683995458,0.124877211087607,-0.468078692065214
