"","OVOL2","miR145","GRHL2","Ecad","miR34","KEAP1","ZEB","miR200","SNAIL","OCT4","NRF2"
"OVOL2",0.287256616127548,0.137598534976121,0.130534214142737,0.130534214142737,0.13522769590733,-0.166841063216124,-0.101508664528952,-0.143184635819445,-0.0815361702723823,-0.105253451807975,0.0100093562606949
"miR200",0.208355547277637,0.099416098712121,0.0975303764731229,0.0975303764731229,0.0738076206304627,0.0786623008433961,-0.0484820128563655,0.0184153399933913,0.0460617931650134,-0.0449397604654182,-0.237482458286713
"GRHL2",0.207137872520158,0.0938759287299049,0.0924431820058786,0.0924431820058786,0.0887633145360503,-0.018966577185262,-0.0349441895480515,0.0276020502657183,-0.0151208401568683,-0.0303628622396634,-0.135286073129585
"Ecad",0.206195509007642,0.0928781481910177,0.0914890364860257,0.0914890364860257,0.0883298659820594,-0.0147596147016931,-0.031750128151904,0.0336496860621783,0.0816836231135278,-0.0270005971706096,-0.224669941084577
"SNAIL",0.106293123158849,0.0837154652414233,0.0830300413902438,0.0830300413902438,-0.0149593212423417,-0.0870130422771618,-0.0225486431890991,-0.0377816414652291,-0.0312303838983855,-0.0174418278665623,0.0161047777638413
"KEAP1",0.108485651730549,0.0886786447409631,0.0879379642560436,0.0879379642560436,-0.0101580083846094,-0.0907211617075991,-0.0178876064505837,-0.0338140424242422,0.0730961850051554,-0.0118381539434171,-0.0819087364926608
"miR145",0.184295756885517,0.0645102400756258,0.0594014673297828,0.0594014673297828,0.0584534340478463,-0.132887528266249,-0.0116949152961487,-0.0943977493759692,-0.0135736014897662,-0.112197360776907,-0.0903453715906427
"ZEB",-0.177904544466934,-0.0354462713311754,-0.0349441895480515,-0.0349441895480515,-0.0313820088980681,-0.0276020502657183,-0.0113479212882035,0.0163317262620239,0.0680802041144655,0.0938759287299049,0.157211333299878
"OCT4",0.00292089652890288,-0.135525171350428,0.00429147565194816,0.00429147565194816,-0.000740746085915474,0.134415333580153,-0.00165757924653626,0.136658923323742,0.0270766546453888,0.138509177079719,-0.12140673373075
"NRF2",-0.072510487377006,-0.0174418278665623,-0.0178876064505837,-0.0178876064505837,0.0798407846247627,0.0338140424242422,0.0830300413902438,0.0870130422771618,-0.0092879473279103,0.0886786447409631,0.00825898199184245
"miR34",-0.072510487377006,-0.0174418278665623,-0.0178876064505837,-0.0178876064505837,0.0798407846247627,0.0338140424242422,0.0830300413902438,0.0870130422771618,-0.0092879473279103,0.0886786447409631,0.00825898199184245
