"","miR200","SNAIL","miR145","GRHL2","Ecad","ZEB","NRF2","OVOL2","OCT4","miR34","KEAP1"
"GRHL2",0.111192068333003,0.0958838561825182,0.0605901728366221,0.0549687290220793,0.0549687290220793,-0.0569665412162182,-0.0434595112266868,-0.0480688342274277,-0.0619795211660961,-0.0613176475830761,-0.112846480097709
"Ecad",0.0830373521043613,0.134832285748158,0.0575941809916704,0.0526070470939549,0.0526070470939549,-0.053231396729751,-0.14470192554375,-0.048137281575636,-0.0560159496991534,-0.149548833338705,-0.0851275057180606
"miR200",0.114656209363822,0.01343526166488,0.0571983046312553,0.051707760670082,0.051707760670082,-0.0527914938883922,0.0613567928464742,-0.0475826081175496,-0.0568724706514259,-0.0413515927516932,-0.216407908416181
"OVOL2",-0.0456883502327484,0.0833228953563468,0.0477517754834277,0.0469788100616626,0.0469788100616626,-0.0482087565857267,-0.0482336940040462,-0.078475816742409,-0.0471915755351385,-0.0519820032678952,0.0429879417230131
"SNAIL",-0.0467543772072338,-0.0265320866785595,0.048798378974695,0.0477773958539552,0.0477773958539552,-0.0475065454860075,-0.0469949886939196,-0.0491100412296347,-0.0453797657006868,-0.108049873183185,0.044040332596551
"KEAP1",-0.0477026358764451,0.0718262735938388,0.0530499478675133,0.0513330978785005,0.0513330978785005,-0.0456347146290968,-0.142347267014814,-0.054182848753809,-0.0377125245546298,-0.111155259628166,0.043600797121141
"ZEB",-0.111984704487439,-0.0963991683144381,-0.0625478943819725,-0.0569665412162182,-0.0569665412162182,-0.0443379381488046,0.0410470230526092,0.0498904721174958,0.0605901728366221,0.0627271431320375,0.111192068333003
"miR145",0.00105713805370514,0.0955662947295641,0.0496157828366885,0.0385412587497351,0.0385412587497351,-0.0404355381205131,-0.105583276356854,-0.0363604317702101,-0.1510857760936,-0.0457140351209255,-0.00251729658520284
"OCT4",0.140158203242586,-0.0275676238357183,-0.143390834601164,-0.00318135721968993,-0.00318135721968993,0.00234075198392018,0.123846749461831,0.00191518715125544,0.141839151621932,0.00741173988485239,-0.140303890888274
"NRF2",0.044040332596551,-0.0764177658288152,-0.0453797657006868,-0.0456347146290968,-0.0456347146290968,0.0477773958539552,0.0491666887278524,0.0446868662848536,0.0530499478675133,0.105428199802746,-0.0477026358764451
"miR34",0.044040332596551,-0.0764177658288152,-0.0453797657006868,-0.0456347146290968,-0.0456347146290968,0.0477773958539552,0.0491666887278524,0.0446868662848536,0.0530499478675133,0.105428199802746,-0.0477026358764451
