"","KEAP1","ZEB","OVOL2","OCT4","GRHL2","Ecad","miR34","miR145","SNAIL","miR200","NRF2"
"ZEB",-0.1029918685703,-0.066446614036608,-0.0165069972216469,-0.0152147491795623,-0.00556847734813338,-0.00556847734813338,-0.00485453561294814,0.0103397650347458,0.0449720319278368,0.102333469183954,0.139848507055802
"OVOL2",0.0862069279754662,-0.0230421348632874,-0.0357178199617038,0.015100433811125,0.0580926399137925,0.0580926399137925,0.0583009794604574,0.0468422247272674,-0.0215310795121156,-0.0870398634097067,-0.0507497507334596
"SNAIL",0.101582381330186,-0.0221712121624243,0.0647188422226196,0.0141753358285703,0.0593185956456623,0.0593185956456623,-0.0381045622251093,0.0478201263365421,-0.0222423791688193,-0.102426243940231,-0.0540335414630655
"KEAP1",0.101489473083633,-0.0175075784877934,0.070393355830745,0.00960057802163065,0.0647644032956387,0.0647644032956387,-0.0322866405625026,0.0522386148314466,0.0839080789588965,-0.102479572093534,-0.150267684167113
"Ecad",0.135440458488932,-0.00626567823258452,0.0524149027971585,-0.0121254191144699,0.0407657255317993,0.0407657255317993,0.0436643117188154,0.0188677781644416,0.0889344427408697,-0.136254695037241,-0.224334394000283
"GRHL2",0.10221572477945,-0.00556847734813338,0.0501201763757733,-0.0132668915746554,0.0372974197167211,0.0372974197167211,0.0384042388770431,0.0152147491795623,-0.00869405784067547,-0.1029918685703,-0.117284647074723
"miR200",-0.00715922354700028,-0.00454303126223903,0.0507882501316394,-0.0144901319959385,0.0376211571046933,0.0376211571046933,0.0423329861528865,0.0152538555913384,-0.0115402120835326,-0.0936352629084415,-0.0128454075287985
"OCT4",-0.0742277079965179,0.00142685651022584,-0.00186760290800206,-0.0731740327300307,-0.00298798051951252,-0.00298798051951252,0.000941913020052701,-0.0746302275259247,-0.0218430168430385,0.0742568455256554,0.0836302011922504
"miR145",0.00790980945924316,0.00745112281159616,0.0363177868081723,-0.0144243029696841,0.0189034522746148,0.0189034522746148,0.0204914099944355,-0.0909448693891042,-0.00819158432543853,-0.00851890416095364,-0.0818722321207473
"NRF2",-0.102479572093534,0.0593185956456623,-0.020356832821249,-0.0522386148314466,-0.0175075784877934,-0.0175075784877934,0.0823824463960134,-0.0141753358285703,-0.0294853915855001,0.101582381330186,0.0839283497426718
"miR34",-0.102479572093534,0.0593185956456623,-0.020356832821249,-0.0522386148314466,-0.0175075784877934,-0.0175075784877934,0.0823824463960134,-0.0141753358285703,-0.0294853915855001,0.101582381330186,0.0839283497426718
