"","ZEB","OVOL2","miR200","miR34","GRHL2","Ecad","miR145","OCT4","NRF2","KEAP1","SNAIL"
"ZEB",-0.0659730500766986,-0.0150184119625871,-0.0143051563556379,-0.00459437243607669,-0.00368223279778305,-0.00368223279778305,0.0119435445688412,0.0155166241284409,0.0511448583910795,0.0519425892372538,0.0609291873824747
"OVOL2",-0.0217647830375976,-0.0348656041842228,-0.0348878389349696,0.0605413295125235,0.0589246166680195,0.0589246166680195,0.0475426828418655,-0.0141978582275416,-0.0211266968345895,0.0807205091031483,-0.0206671554906451
"SNAIL",-0.0209586557647404,0.0655039595511587,-0.0331829373735601,-0.035979104094754,0.0600939787410282,0.0600939787410282,0.0484758434034141,-0.0133479234924019,-0.0200915789181223,0.0814381944095497,-0.02024101444903
"KEAP1",-0.016542546182125,0.0708344821344668,-0.0275332083821928,-0.0303840439801031,0.0652305928293553,0.0652305928293553,0.0526576070973875,-0.00909932488879857,-0.11414221082189,0.0873634771233526,0.0862098352376744
"Ecad",-0.00454804452575477,0.0530663767373028,0.0549294778290711,0.0467480986880183,0.0411765564924561,0.0411765564924561,0.0191947255713558,0.0134039138844265,-0.111570617678975,-0.0100289489950242,0.0839040241915009
"miR200",-0.00275795301031998,0.0514679543071764,0.0542475540020847,0.0455109234967417,0.0380358955347175,0.0380358955347175,0.0155801664135084,0.0158395387843194,0.0912628765255834,-0.110991116747371,-0.0169760408182124
"OCT4",-0.00141084498192546,0.00186760290800206,-0.0711538002972348,-0.000899522176474914,0.00298798051951252,0.00298798051951252,0.0746302275259247,-0.0731740327300307,-0.0827256383507203,0.0731351522785867,0.0218904918861237
"GRHL2",0.00368223279778305,-0.0508175565847953,-0.0519425892372538,-0.0417327255518037,-0.037691099168904,-0.037691099168904,-0.0155166241284409,-0.0147182418986844,0.0102271668111363,0.0102759225705872,0.0161853711280577
"miR145",0.00904792861333305,0.0368715626302655,0.0260462884178581,0.0230387214855014,0.01917730640013,0.01917730640013,-0.090753171630679,0.0156621399381638,-0.00851074701265707,0.00840510916245064,-0.0135875094583717
"NRF2",0.0600939787410282,-0.0195561768021074,0.0814381944095497,0.0835456364859579,-0.016542546182125,-0.016542546182125,-0.0133479234924019,0.0526576070973875,0.0727892375540232,-0.0275332083821928,-0.0221315097819013
"miR34",0.0600939787410282,-0.0195561768021074,0.0814381944095497,0.0835456364859579,-0.016542546182125,-0.016542546182125,-0.0133479234924019,0.0526576070973875,0.0727892375540232,-0.0275332083821928,-0.0221315097819013
