"","OVOL2","NRF2","miR145","GRHL2","Ecad","miR34","miR200","ZEB","KEAP1","SNAIL","OCT4"
"OVOL2",0.290786411501292,-0.00233590441167637,0.141825202314941,0.134868037236651,0.134868037236651,0.138797893295049,-0.123779951204821,-0.102907252922925,0.15425902171254,-0.0806591881957526,-0.106411947122318
"NRF2",0.072590206166146,0.0107987085736397,0.0165632589679567,0.016968788252794,0.016968788252794,-0.0806838420760733,-0.0858303012031415,-0.0869876701179939,0.0200117984821531,0.00877554053596266,-0.0916351669257707
"miR200",0.214721531624592,0.251551792971091,0.106672962378491,0.105045458752901,0.105045458752901,0.0799484347195487,0.0494055321274746,-0.0508641895449429,-0.097897922287329,0.0476593300218749,-0.0467660578012998
"miR145",0.233347086093255,0.207426035077652,0.103934313278668,0.102604356437685,0.102604356437685,0.0955312649377603,0.0627644290881915,-0.0388649261386625,-0.0022304282538152,-0.00281359951234473,-0.133415095476915
"GRHL2",0.213879175894975,0.150335658828025,0.101546269579349,0.100415360799671,0.100415360799671,0.0953364806931622,0.0609525148580237,-0.0371935288001312,-0.0010260442697884,-0.0134067756928549,-0.0321119328277777
"Ecad",0.212165142882534,0.237910588901799,0.0997655126957126,0.0986374967596244,0.0986374967596244,0.0941719847043358,0.0638546238062119,-0.0334780984056371,-0.00216571253281311,0.0831609513360251,-0.0284185739202024
"SNAIL",0.10907998359153,-0.0114951495872018,0.0875680791385166,0.0869876701179939,0.0869876701179939,-0.0116948702739205,-0.0238907856258939,-0.0212425760869227,0.0858303012031415,-0.0302046533114878,-0.0165632589679567
"ZEB",-0.181818349029776,-0.171740578411753,-0.0375350230938757,-0.0371935288001312,-0.0371935288001312,-0.0329106646694233,-0.00450275776265165,-0.00253169410033326,0.0609525148580237,0.0691488251628195,0.101546269579349
"KEAP1",-0.110683705070456,-0.0865215672752218,-0.0916351669257707,-0.0910477704950415,-0.0910477704950415,0.00767979694088068,0.0200117984821531,0.016968788252794,-0.0898373524661229,-0.0735290854380558,0.0114204429993904
"miR34",-0.072590206166146,-0.0107987085736397,-0.0165632589679567,-0.016968788252794,-0.016968788252794,0.0806838420760733,0.0858303012031415,0.0869876701179939,-0.0200117984821531,-0.00877554053596266,0.0916351669257707
"OCT4",-0.190012083414238,-0.302558838383838,-0.140219430825738,-0.0397359980859622,-0.0397359980859622,-0.0256589211428173,-0.100790575219754,0.104254451372328,0.160726472655652,0.0199456329681183,0.207037287116023
