"","miR145","GRHL2","Ecad","miR34","miR200","NRF2","SNAIL","OVOL2","ZEB","KEAP1","OCT4"
"miR145",0.510402020767108,0.491393148260579,0.491393148260579,0.479111339868308,0.467448203052498,-0.143610754107115,-0.240251299435599,-0.255405502204293,-0.505049910507261,-0.451853709936102,-0.591804583140675
"GRHL2",0.476739273212796,0.458683458998981,0.458683458998981,0.450709776963057,0.435768030153897,-0.160642377130927,-0.23059913142895,-0.237015259976629,-0.470630030476902,-0.421940415774812,-0.46029865131402
"miR200",0.473488278028274,0.455616604604655,0.455616604604655,0.426124201784503,0.418556583619245,-0.0646970126132444,-0.131723359683372,-0.236737093027515,-0.467268084628379,-0.505356621907749,-0.457956858323076
"Ecad",0.41349956679111,0.39554411669827,0.39554411669827,0.37761008835413,0.372792841956899,-0.234236337943225,-0.215032757017707,-0.205337204618841,-0.404767463590711,-0.362476380947917,-0.40149956679111
"SNAIL",0.146801625156829,0.140779065037757,0.140779065037757,0.0196888287252423,0.0348157210293055,-0.0746812225608337,-0.0922959818608622,-0.101386826879567,-0.143119621047569,-0.0316911486623849,-0.142700772357422
"OVOL2",0.145373224146145,0.139124247261133,0.139124247261133,0.14240591176351,0.0437942310035502,-0.0717373178999257,-0.122670057826153,-0.122241588865774,-0.141786160511282,-0.0409134415717501,-0.141831036780809
"NRF2",0.142700772357422,0.137158672623341,0.137158672623341,0.0160369763842266,0.0316911486623849,-0.0746812225608337,0.00835719976577078,-0.0990025033818039,-0.140779065037757,-0.0283818384697095,-0.139536822213606
"KEAP1",-0.139536822213606,-0.133845659106246,-0.133845659106246,-0.0136311854538456,-0.0283818384697095,-0.0286466552351292,-0.0121384286651631,0.0986372732868441,0.137158672623341,0.0224883919822036,0.130947865158391
"miR34",-0.142700772357422,-0.137158672623341,-0.137158672623341,-0.0160369763842266,-0.0316911486623849,0.0746812225608337,-0.00835719976577078,0.0990025033818039,0.140779065037757,0.0283818384697095,0.139536822213606
"ZEB",-0.489599837619752,-0.470630030476902,-0.470630030476902,-0.461726097437834,-0.446538932736357,0.164095546478136,0.236297011287607,0.242860341554326,0.37986460540883,0.435768030153897,0.476739273212796
"OCT4",-0.57661029146459,-0.459107802160477,-0.459107802160477,-0.439633986005046,-0.530362077542251,0.0466334227521113,0.163178502486944,0.239189186931,0.475079301640102,0.511043895724069,0.553526023142795
