"","ZEB","miR200","OVOL2","miR145","miR34","GRHL2","Ecad","OCT4","NRF2","KEAP1","SNAIL"
"ZEB",-0.100233574332727,-0.0226652810606139,-0.0176130909441628,-0.00839980232066427,-0.00147747225351472,0.000374166242463449,0.000374166242463449,0.00869137786997178,0.0136279897663296,0.0234323483068425,0.0313673523841785
"SNAIL",-0.0718693124403513,-0.0412830398507639,0.0635537084957762,0.0785078655633547,-0.0415255917687747,0.0721912666513079,0.0721912666513079,-0.0778627042730321,-0.0567465707947297,0.0430756777196687,-0.0492277876593274
"KEAP1",-0.0716576487217455,-0.040119360614212,0.0640170524214787,0.0789173543209707,-0.0401971646306622,0.0725322842902586,0.0725322842902586,-0.0772302377565535,-0.155289681295186,0.0449755605199169,0.0539654483092398
"OVOL2",-0.0670424942328749,-0.040265078000949,-0.044697175403649,0.0739862590444844,0.0695766150093841,0.0672207473523045,0.0672207473523045,-0.073632902154025,-0.0526769710743,0.041214730502408,-0.0556958762187264
"OCT4",-0.0117025508260914,-0.151898507970846,0.0220602591972805,-0.156372257506244,0.00512959202432998,0.011342291439333,0.011342291439333,0.155775456360386,-0.163293084947839,0.150062843635182,0.016133735703923
"Ecad",-0.00950796724085982,-0.0780177980195018,-0.0105560130866797,0.00103790315459963,-0.0900507594180521,0.00946066802602678,0.00946066802602678,-0.00111953580766086,-0.102542818541447,0.0778750967687673,0.0899021925708086
"GRHL2",0.000374166242463449,0.0234323483068425,0.0179457378632187,0.00869137786997178,0.00233986097755033,-0.000126598737137869,-0.000126598737137869,-0.00822826176014711,-0.0126582641277298,-0.022206858110764,-0.0293061038564989
"miR200",0.00498338010994337,-0.0166935727590037,-0.0208358935787861,-0.0145093433012018,0.00294008567683565,-0.00512895621389549,-0.00512895621389549,0.014245572936578,0.119258491414649,-0.0839477596809312,-0.0337437548604557
"miR145",0.0146444574167846,0.0857574716326539,-0.0231380173405242,0.0940193756395991,-0.0134366958155898,-0.0149420624052111,-0.0149420624052111,-0.194545336529687,0.0899754189538775,-0.0873010677945229,0.0209607645455878
"NRF2",0.0721912666513079,0.0430756777196687,-0.0628117931081113,-0.0778627042730321,0.0435397237109262,-0.0716576487217455,-0.0716576487217455,0.0789173543209707,0.0590540020807833,-0.040119360614212,-0.0458628149533991
"miR34",0.0721912666513079,0.0430756777196687,-0.0628117931081113,-0.0778627042730321,0.0435397237109262,-0.0716576487217455,-0.0716576487217455,0.0789173543209707,0.0590540020807833,-0.040119360614212,-0.0458628149533991
