"","OVOL2","miR200","GRHL2","Ecad","miR34","miR145","ZEB","NRF2","OCT4","SNAIL","KEAP1"
"OVOL2",0.411133774761388,0.413342614369614,0.260264143893821,0.260264143893821,0.261631349088338,0.227328630484398,-0.250971214600892,0.0186465429023967,-0.214754296260491,-0.141052287214588,-0.401103238275392
"GRHL2",0.22842892479918,0.225003416703186,0.114286699877388,0.114286699877388,0.111058812292208,0.0762520775106242,-0.0683139898768118,-0.00787214905535516,-0.0329838009641472,-0.0359240643517015,-0.188851455918872
"miR200",0.221981783498158,0.219659109555973,0.111529409285908,0.111529409285908,0.107984686718554,0.0740604295578566,-0.0640230740295324,0.0935236385387536,-0.0297004605896642,-0.0334850824221543,-0.282815996700608
"Ecad",0.224753887693542,0.187038809284292,0.110058065081378,0.110058065081378,0.106304296178986,0.0745629576703038,-0.0610749982002887,-0.109399283547531,-0.0289030937247255,0.0686824200604851,-0.149139035927455
"miR145",0.202081812262202,0.188331136033767,0.0785316208810452,0.0785316208810452,0.0776631155356831,-0.0456034646818301,-0.0404051151415205,-0.00655728521843474,-0.0188065150889049,-0.0291187064669516,-0.158518870702103
"SNAIL",0.111730697192758,0.000744697816136503,0.0870778414681793,0.0870778414681793,-0.0129872234153082,0.0707285775454169,-0.0342620197183837,-0.0179581185471874,-0.0234538278235036,-0.0207445682827647,0.0372564881529371
"KEAP1",0.113064530655033,0.00288176747289026,0.0915084423398753,0.0915084423398753,-0.00824494607745839,0.0744605392328996,-0.0286672019476145,-0.112807365592321,-0.0177120729752309,0.0859281534491433,0.0430871151296557
"OCT4",0.00252512279215173,-0.0705985996417149,0.00369746411283968,0.00369746411283968,-0.000285083879837511,0.0752341350007868,-0.00175206342434396,-0.0827256383507203,-0.0733959874715435,0.0218716319375008,0.0721137511568664
"ZEB",-0.206038619080821,-0.196295925013081,-0.0683139898768118,-0.0683139898768118,-0.0623384858827124,-0.0388679267244115,0.0125434928221233,0.0539932465009559,0.0762520775106242,0.0924611668251997,0.225003416703186
"NRF2",-0.0812895123935284,0.0372564881529371,-0.0286672019476145,-0.0286672019476145,0.0746064534225723,-0.0234538278235036,0.0870778414681793,0.0747277147467123,0.0744605392328996,-0.0111138387968813,0.00288176747289026
"miR34",-0.0812895123935284,0.0372564881529371,-0.0286672019476145,-0.0286672019476145,0.0746064534225723,-0.0234538278235036,0.0870778414681793,0.0747277147467123,0.0744605392328996,-0.0111138387968813,0.00288176747289026
