"","ZEB","miR200","OVOL2","miR145","miR34","GRHL2","Ecad","NRF2","OCT4","KEAP1","SNAIL"
"ZEB",-0.0911587018492049,-0.0274343803974148,-0.0219826593277683,-0.0180257209285087,-0.00957585144684131,-0.00881460348438947,-0.00881460348438947,0.0170653117448022,0.018306883065341,0.02802246528619,0.0333277091603192
"SNAIL",-0.0755537324099928,-0.039627276088833,0.065417506499843,0.0821492353953052,-0.03883400469898,0.0757734789349315,0.0757734789349315,-0.0585836924593456,-0.0816672183393171,0.0409911405234451,-0.0504314733537041
"KEAP1",-0.0753383750846729,-0.0388290578642305,0.0656464594562955,0.0823862979174571,-0.0377054800700121,0.0760539860043654,0.0760539860043654,-0.157716230546753,-0.0814660525186841,0.0422708306129339,0.052173684321276
"GRHL2",-0.00881460348438947,0.02802246528619,0.0223390667410425,0.018306883065341,0.0101229582717671,0.00903914145433593,0.00903914145433593,-0.0162848008649535,-0.017711448066995,-0.0271237724757325,-0.0320320672286348
"miR145",-0.00774651674889904,0.0293320506763525,0.0176717639166713,0.0249060561953169,0.00780960637586911,0.00794019618581151,0.00794019618581151,-0.00841254712310343,-0.124380095305229,-0.0284392680313796,-0.0302687944368053
"OCT4",-0.00293471889841666,-0.139802646257982,0.00148749928703461,-0.136922403550015,-0.00197530678830805,0.00295873619086722,0.00295873619086722,-0.124617423414473,0.137041763779187,0.140268846724183,0.0266214145062154
"Ecad",-0.00266130469348305,-0.0814316407388877,-0.0140155981379818,-0.00630530226757352,-0.0953937068613297,0.00260454563568341,0.00260454563568341,-0.0999579323368416,0.00597877165532862,0.0813057278705926,0.0916011299055227
"miR200",0.0136565657519333,-0.0210533540338341,-0.0251909246445917,-0.0236463570207486,-0.00408590208419979,-0.013812925270993,-0.013812925270993,0.122520897986272,0.0231343321953025,-0.079434824390594,-0.0313448749729833
"OVOL2",0.0310542761491079,-0.0725696813229209,-0.0705156322248165,-0.0318435066709602,-0.0332578472251651,-0.0314583165531483,-0.0314583165531483,-0.0312850476472873,0.0314039651730717,0.0718110203860012,0.0648183246382059
"NRF2",0.0757734789349315,0.0409911405234451,-0.0648794762568799,-0.0816672183393171,0.040451913963987,-0.0753383750846729,-0.0753383750846729,0.0602803331108556,0.0823862979174571,-0.0388290578642305,-0.0456915776366035
"miR34",0.0757734789349315,0.0409911405234451,-0.0648794762568799,-0.0816672183393171,0.040451913963987,-0.0753383750846729,-0.0753383750846729,0.0602803331108556,0.0823862979174571,-0.0388290578642305,-0.0456915776366035
