"","KEAP1","miR200","miR34","miR145","GRHL2","Ecad","OVOL2","ZEB","OCT4","SNAIL","NRF2"
"OVOL2",0.153896687051977,0.167165295466217,0.139953397211272,0.138066088668633,0.131019763181022,0.131019763181022,-0.00491954636591777,-0.103764861220238,-0.107134433062324,-0.11994773184096,-0.12756903256752
"NRF2",-0.0111719781733496,-0.042367742256303,-0.0772112673816623,0.0179372600141346,0.0184316388068784,0.0184316388068784,0.0157528197123335,-0.0850025278964441,-0.0907560519604433,0.0174095065467384,-0.025017196173982
"miR145",0.178985409279738,0.207395922421165,0.105488863662341,0.0973582542260638,0.09568107571648,0.09568107571648,0.0883431030944554,-0.0383188951694537,-0.132772954158633,-0.120295652663465,-0.233801675158537
"GRHL2",0.159232595350694,0.186193379664419,0.102299734148154,0.094685993072658,0.0932654943520154,0.0932654943520154,0.0867645634647823,-0.0378621896136885,-0.0325953546340209,-0.109267950580192,-0.178226845249746
"Ecad",0.175845674533217,0.191786243659381,0.16826582964,0.0732222881409818,0.0694640858205455,0.0694640858205455,0.0662174264954175,-0.0367330291560861,-0.0361338527668322,-0.141065033195062,-0.264645033122775
"miR200",0.256334601583354,0.183931040752494,0.0999158232313478,0.0938629749454926,0.0925214687853798,0.0925214687853798,0.0869576794446116,-0.0357090462911759,-0.0304184443015826,-0.0916212526158495,-0.276892403232283
"SNAIL",-0.042367742256303,-0.0132522015000196,-0.0149977033586814,0.0856940267920359,0.0850025278964441,0.0850025278964441,0.08470564295524,-0.0235450462938276,-0.0179372600141346,-0.0426621327284407,0.00827089340864437
"ZEB",-0.186193379664419,-0.162804220881499,-0.0509644225754538,-0.0383181913440315,-0.0378621896136885,-0.0378621896136885,-0.0290265625143626,-0.0104266822697092,0.094685993072658,0.142660176728602,0.208099125287589
"KEAP1",0.0461083289512845,0.0111719781733496,0.0101684741093608,-0.0907560519604433,-0.0900722431005439,-0.0900722431005439,-0.0900040980176659,0.0184316388068784,0.0119216961322224,-0.061703902225334,-0.11158945958161
"miR34",0.0111719781733496,0.042367742256303,0.0772112673816623,-0.0179372600141346,-0.0184316388068784,-0.0184316388068784,-0.0157528197123335,0.0850025278964441,0.0907560519604433,-0.0174095065467384,0.025017196173982
"OCT4",-0.295381031197658,-0.268341404158031,-0.0441651436796226,-0.131735302814605,-0.031466071535097,-0.031466071535097,-0.0229014777896141,0.0942552797650226,0.199078344113245,0.140740334333539,0.338843123861566
