"","SNAIL","miR145","GRHL2","Ecad","miR200","OVOL2","ZEB","miR34","NRF2","KEAP1","OCT4"
"SNAIL",-0.065208296930373,0.124532017316849,0.118102721093484,0.118102721093484,0.1157490998918,0.0950121362219674,-0.0946818298424621,-0.00856673693789894,0.00953162322699428,-0.0918883144153601,-0.0984808493524441
"KEAP1",0.0340522196907526,0.124990916466538,0.118779260157844,0.118779260157844,0.116524290294166,0.0962813195929586,-0.0925136889943134,-0.00927311331252218,-0.0883210202465114,-0.0893201413078386,-0.0946228183070288
"Ecad",0.103978356299042,0.105276009980827,0.103562832486975,0.103562832486975,0.148625926362502,0.0920665069445974,-0.0476551605543291,-0.0802016131655039,-0.112721294798799,-0.0918560111438329,-0.0433712480760652
"miR145",0.0900762369548171,0.102717962738581,0.101349212234819,0.101349212234819,0.0941519613547523,0.0927960163827405,-0.0376475730454386,-0.0744976384208653,-0.0206488652105633,-0.0293459538453656,-0.13217177258349
"GRHL2",0.0875335419452418,0.100917873889762,0.0997508086194085,0.0997508086194085,0.0937714664892734,0.091775299221633,-0.0374040989642758,-0.0695458566599755,-0.0210711489528283,-0.0305974468814303,-0.0322112910250577
"miR200",0.0133490828253615,0.0961896176229086,0.0949776186872033,0.0949776186872033,0.0777013230567681,0.0888647695439789,-0.0347037199434712,-0.066319206951788,0.0735072027936488,-0.11679388551489,-0.0299522242947473
"OVOL2",0.0741755337865556,0.0886630300544464,0.0880982489314991,0.0880982489314991,-0.01296370339863,-0.0131346809198813,-0.0230120932571082,-0.0712856413541438,-0.0150675491371082,0.0781395747976432,-0.018051981187774
"ZEB",-0.104435779872215,-0.0377397004023098,-0.0374040989642758,-0.0374040989642758,-0.0352186666938247,-0.0272734775837429,-0.00338535130356067,0.0227079486481061,0.0881241290852787,0.0937714664892734,0.100917873889762
"OCT4",-0.054757232223249,-0.131279439355577,-0.0310617146083305,-0.0310617146083305,-0.123832589564346,-0.0219622594360298,0.0984942660453651,0.0202411276661782,-0.00585344096704753,0.189654267886024,0.20201231116269
"NRF2",-0.0413445897110092,-0.0984808493524441,-0.0925136889943134,-0.0925136889943134,-0.0918883144153601,-0.0688525394614758,0.118102721093484,-0.0105906295020403,0.0170717021886827,0.116524290294166,0.124990916466538
"miR34",-0.0413445897110092,-0.0984808493524441,-0.0925136889943134,-0.0925136889943134,-0.0918883144153601,-0.0688525394614758,0.118102721093484,-0.0105906295020403,0.0170717021886827,0.116524290294166,0.124990916466538
