"","OVOL2","miR34","miR145","GRHL2","Ecad","miR200","ZEB","KEAP1","OCT4","SNAIL","NRF2"
"OVOL2",0.29027358983115,0.137139396647512,0.140870127916325,0.133859958454906,0.133859958454906,-0.125105685632343,-0.104157046987289,0.15304881258868,-0.107370171008628,-0.0851811870099546,0.00214712750259396
"NRF2",0.0733543391757917,-0.0779499042327113,0.0178030024160074,0.0182833687961642,0.0182833687961642,-0.0838156133982045,-0.0853796663086837,0.021674122002411,-0.0909094261935721,0.0166512209893791,-0.0106895978262311
"miR145",0.227970237734429,0.105365831240861,0.0979175720881615,0.0962775512020048,0.0962775512020048,0.0690980189705677,-0.0381123095750975,-0.0146382776272219,-0.132684935540623,-0.112612551176469,-0.208217771023762
"GRHL2",0.208672507417357,0.102210750804242,0.0953143887622454,0.0939300465322776,0.0939300465322776,0.0652038635926514,-0.0376401046818544,-0.0126303341808867,-0.0324959964367409,-0.101552376240051,-0.151282354202202
"Ecad",0.180922487068051,0.168162126088517,0.073713327469682,0.0699814651292272,0.0699814651292272,0.111350896253191,-0.0365787596141388,-0.0800657455774591,-0.0360534635241038,-0.135559001912367,-0.243370580989973
"miR200",0.203677003235273,0.0998719883821959,0.0944545909285694,0.0931464091169199,0.0931464091169199,0.0668210632737829,-0.0354928802443259,-0.113016143201035,-0.0303273605173979,-0.0845303274097184,-0.250775951414596
"SNAIL",0.108201708491077,-0.0145608796008682,0.0860492018969121,0.0853796663086837,0.0853796663086837,-0.0261182179687469,-0.0232271724411449,0.0838156133982045,-0.0178030024160074,-0.0393327655255808,0.0112649322043085
"KEAP1",0.110242578766734,-0.00992776244007771,0.0909094261935721,0.0902420223874709,0.0902420223874709,-0.021674122002411,-0.0182833687961642,0.088670821672378,-0.0119216961322224,0.064794367511999,0.113478432724778
"ZEB",-0.180199515179119,-0.049299029735993,-0.0381031006231222,-0.0376401046818544,-0.0376401046818544,-0.0165909768629147,-0.00957030267875494,0.0652038635926514,0.0953143887622454,0.138905144202359,0.170960689112325
"miR34",-0.0733543391757917,0.0779499042327113,-0.0178030024160074,-0.0182833687961642,-0.0182833687961642,0.0838156133982045,0.0853796663086837,-0.021674122002411,0.0909094261935721,-0.0166512209893791,0.0106895978262311
"OCT4",-0.182784949003142,-0.0427753435289394,-0.131645534157224,-0.0313710172735262,-0.0313710172735262,-0.113939332485019,0.0948647327486683,0.172039565585252,0.199370528189213,0.137743606620895,0.303143401225368
