"","OVOL2","ZEB","miR145","miR34","Ecad","miR200","GRHL2","KEAP1","OCT4","NRF2","SNAIL"
"ZEB",-0.121463801414328,-0.0846459150028218,-0.0178744747591294,-0.0120909088036388,-0.0115011548126291,-0.010923414402857,0.0115011548126291,0.0172389347301391,0.0234560638458731,0.0344583932769565,0.0398433178359543
"OVOL2",0.24388167482767,-0.0783516400759352,0.0881624800902432,0.0823079108928781,0.0811918064455133,-0.156398888358214,-0.0811918064455133,0.161009212513342,-0.0840687112373603,-0.105452557981918,-0.0479580197204757
"SNAIL",0.072673346958362,-0.0317169275327067,0.0408133079707171,-0.0554540504865958,0.0399446462571548,-0.0570293608725209,-0.0399446462571548,0.0704262499844125,-0.0289853509814698,-0.0368973147703028,-0.0356842365778512
"KEAP1",0.0744042836001142,-0.0290670500006898,0.044709224423464,-0.0505256320034645,0.0435117889352247,-0.05264422321577,-0.0435117889352247,0.0760765664500935,-0.0240037029510714,-0.131172055039888,0.0721074771450379
"Ecad",0.128645791168286,-0.0119356933606014,0.0242879904866714,0.0241747455887278,0.0187278606106251,0.0210063437643346,-0.0187278606106251,-0.0100183474577787,-0.0146009156567395,-0.128425365031331,0.0712744265223141
"GRHL2",0.123958653307247,-0.0115011548126291,0.0234560638458731,0.0192032975276744,0.0166309838183289,0.0172389347301391,-0.0166309838183289,-0.00894645107000835,-0.0161454452550693,-0.0261565957367484,-0.0283444956922559
"miR200",0.121200318000067,-0.00875218786244442,0.0215947487118049,0.0239329227802448,0.0147639417849117,0.0216134173084436,-0.0147639417849117,-0.11187856519779,-0.0130144539096326,0.0775654563690579,-0.0300297317387051
"OCT4",0.00187741455836981,-0.00184639170042874,-0.137055755889921,-0.00208383548456949,0.00273503152109962,-0.139889526495341,-0.00273503152109962,0.141346402952218,0.138368718410809,-0.123633416128498,0.0274727268387769
"miR145",-0.118910695417875,0.00503663394279613,0.100615997158887,-0.00862692481654613,-0.00902831989867501,0.0999818082660131,0.00902831989867501,-0.106398162041566,-0.206266705183162,0.0911455256525737,0.014888149217948
"NRF2",-0.0673553427673896,0.0399446462571548,-0.0289853509814698,0.0705171159293747,-0.0290670500006898,0.0704262499844125,0.0290670500006898,-0.05264422321577,0.044709224423464,0.0545763103590371,-0.0398319876109393
"miR34",-0.0673553427673896,0.0399446462571548,-0.0289853509814698,0.0705171159293747,-0.0290670500006898,0.0704262499844125,0.0290670500006898,-0.05264422321577,0.044709224423464,0.0545763103590371,-0.0398319876109393
