"","KEAP1","miR145","GRHL2","Ecad","miR34","OVOL2","ZEB","SNAIL","OCT4","miR200","NRF2"
"SNAIL",0.144384239188165,0.140685610060071,0.134040776898427,0.134040776898427,0.00922428002000739,0.105191952495796,-0.107482109686652,-0.0394641942363254,-0.109947753182059,-0.145218978959182,-0.121021128501139
"OVOL2",0.133556439046973,0.13667679054594,0.129556185259842,0.129556185259842,0.12920519259842,-0.00602364701019639,-0.104196708135659,-0.0478709735699936,-0.107313694794842,-0.134495480905958,-0.115811763077635
"KEAP1",0.143614760857776,0.142498088752529,0.136107583830958,0.136107583830958,0.0118636809277203,0.107955718559394,-0.104117125309887,0.0646431488676296,-0.10415453047032,-0.144604859867677,-0.216757034582221
"Ecad",0.164934374295252,0.0972790027310213,0.0951984687442906,0.0951984687442906,0.0895637916597788,0.0853230707171481,-0.0501223170084094,0.0844838072377214,-0.0453062136153751,-0.166655183495285,-0.265421071569176
"GRHL2",0.128264025833678,0.0878822420138533,0.0861789603617489,0.0861789603617489,0.0828292192331615,0.0813145978507913,-0.0382602546216372,-0.00965363159115592,-0.0329699032774987,-0.130143110800998,-0.153798572081015
"ZEB",-0.130143110800998,-0.0388454826678156,-0.0382602546216372,-0.0382602546216372,-0.0329590411916185,-0.0308710686253834,-0.0181224401159543,0.062082960213064,0.0878822420138533,0.128928587661136,0.187833576811384
"miR145",0.012249609478126,0.0595806630642966,0.0541614185984678,0.0541614185984678,0.0534760541817461,0.0601140176241928,-0.0145516118055158,-0.00901089771983819,-0.114577291520129,-0.0137097680096237,-0.103923076850147
"OCT4",0.143895245201675,-0.134827076338395,0.00508208252268672,0.00508208252268672,-0.00017870265042501,0.00292089652890288,-0.00387321213600831,0.0269153695675102,0.136521991592632,-0.143924382730812,-0.126191430700447
"miR200",-0.237584068573951,-0.0980202905440545,-0.0960027771841114,-0.0960027771841114,-0.0718608130489951,-0.0849375872737637,0.0534891631225381,-0.0522242563772681,0.0488503913974292,0.139431488886002,0.266378410758702
"NRF2",-0.144604859867677,-0.109947753182059,-0.104117125309887,-0.104117125309887,0.0221367448759842,-0.0740258427376265,0.134040776898427,-0.0273710354307627,0.142498088752529,0.144384239188165,0.141143286628048
"miR34",-0.144604859867677,-0.109947753182059,-0.104117125309887,-0.104117125309887,0.0221367448759842,-0.0740258427376265,0.134040776898427,-0.0273710354307627,0.142498088752529,0.144384239188165,0.141143286628048
