states,Avg0,SD0,frust0
'10101010011111100000',0.15023333333333333,0.0012762793146051177,0.025
'01010001100000011111',0.13393333333333335,0.0025302612952464443,0.05
'10101010010100110100',0.10099999999999999,0.0016573070526208088,0.3
'01010101100000011111',0.1513,0.002006655592438994,0.025
'10101110011111100000',0.13263333333333333,0.0014817407180595199,0.05
'01010001101011001011',0.11743333333333333,0.004333846123505334,0.275
'01010101101011001011',0.09766666666666668,0.0030214051182999107,0.3
'10101110010100110100',0.1158,0.0003741657386773937,0.275
